#wave      u        g       r       i     z
0.73745 0.00000 0.00000 0.00000 0.38323 0.00000
0.74159 0.00000 0.00000 0.00000 0.37748 0.00000
0.74574 0.00000 0.00000 0.00000 0.37226 0.00000
0.74988 0.00000 0.00000 0.00000 0.36335 0.00000
0.75403 0.00000 0.00000 0.00000 0.35605 0.00000
0.75818 0.00000 0.00000 0.00000 0.33369 0.00000
0.76232 0.00000 0.00000 0.00000 0.19269 0.00000
0.76647 0.00000 0.00000 0.00000 0.29003 0.00000
0.77061 0.00000 0.00000 0.00000 0.32545 0.00000
0.77476 0.00000 0.00000 0.00000 0.31920 0.00000
0.77890 0.00000 0.00000 0.00000 0.31102 0.00010
0.78305 0.00000 0.00000 0.00000 0.30251 0.00010
0.78720 0.00000 0.00000 0.00000 0.29556 0.00020
0.79134 0.00000 0.00000 0.00000 0.29193 0.00037
0.79549 0.00000 0.00000 0.00000 0.29210 0.00070
0.79963 0.00000 0.00000 0.00000 0.29244 0.00149
0.80378 0.00000 0.00000 0.00000 0.28786 0.00311
0.80792 0.00000 0.00000 0.00000 0.27605 0.00565
0.81207 0.00000 0.00000 0.00000 0.25069 0.00960
0.81622 0.00000 0.00000 0.00000 0.19759 0.01502
0.82036 0.00000 0.00000 0.00000 0.12988 0.02196
0.82451 0.00000 0.00000 0.00000 0.07213 0.03030
0.82865 0.00000 0.00000 0.00000 0.03362 0.03987
0.83280 0.00000 0.00000 0.00000 0.01251 0.05058
0.83694 0.00000 0.00000 0.00000 0.00564 0.05865
0.84109 0.00000 0.00000 0.00000 0.00299 0.06441
0.84524 0.00000 0.00000 0.00000 0.00137 0.06912
0.84938 0.00000 0.00000 0.00000 0.00094 0.07275
0.85353 0.00000 0.00000 0.00000 0.00088 0.07547
0.85767 0.00000 0.00000 0.00000 0.00054 0.07737
0.86182 0.00000 0.00000 0.00000 0.00009 0.07841
0.86596 0.00000 0.00000 0.00000 0.00000 0.07866
0.87011 0.00000 0.00000 0.00000 0.00000 0.07808
0.87426 0.00000 0.00000 0.00000 0.00000 0.07675
0.87840 0.00000 0.00000 0.00000 0.00000 0.07489
0.88255 0.00000 0.00000 0.00000 0.00000 0.07257
0.88669 0.00000 0.00000 0.00000 0.00000 0.07008
0.89084 0.00000 0.00000 0.00000 0.00000 0.06683
0.89498 0.00000 0.00000 0.00000 0.00000 0.05915
0.89913 0.00000 0.00000 0.00000 0.00000 0.05353
0.90328 0.00000 0.00000 0.00000 0.00000 0.05229
0.90742 0.00000 0.00000 0.00000 0.00000 0.05143
0.91157 0.00000 0.00000 0.00000 0.00000 0.04896
0.91571 0.00000 0.00000 0.00000 0.00000 0.04733
0.91986 0.00000 0.00000 0.00000 0.00000 0.04805
0.92401 0.00000 0.00000 0.00000 0.00000 0.04643
0.92815 0.00000 0.00000 0.00000 0.00000 0.03873
0.93230 0.00000 0.00000 0.00000 0.00000 0.02959
0.93644 0.00000 0.00000 0.00000 0.00000 0.02666
0.94059 0.00000 0.00000 0.00000 0.00000 0.02827
0.94473 0.00000 0.00000 0.00000 0.00000 0.02604
0.94888 0.00000 0.00000 0.00000 0.00000 0.02534
