# Theoretical transmission filter for J-PLUS filter F861
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 8610
#    W1 (Angstroms): 360
#    FWHM (Angstroms): 400
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
8389.0 0.0000 0.0000
8389.1 0.0000 0.0000
8389.2 0.0000 0.0000
8389.3 0.0000 0.0000
8389.4 0.0000 0.0000
8389.5 0.0000 0.0000
8389.6 0.0000 0.0000
8389.7 0.0000 0.0000
8389.8 0.0000 0.0000
8389.9 0.0000 0.0000
8390.0 0.0000 0.0000
8390.1 0.0023 0.0014
8390.2 0.0045 0.0029
8390.3 0.0068 0.0043
8390.4 0.0090 0.0057
8390.5 0.0113 0.0072
8390.6 0.0135 0.0086
8390.7 0.0158 0.0100
8390.8 0.0180 0.0115
8390.9 0.0203 0.0129
8391.0 0.0225 0.0143
8391.1 0.0248 0.0157
8391.2 0.0270 0.0172
8391.3 0.0293 0.0186
8391.4 0.0315 0.0200
8391.5 0.0338 0.0215
8391.6 0.0360 0.0229
8391.7 0.0383 0.0243
8391.8 0.0405 0.0258
8391.9 0.0428 0.0272
8392.0 0.0450 0.0286
8392.1 0.0473 0.0300
8392.2 0.0495 0.0315
8392.3 0.0518 0.0329
8392.4 0.0540 0.0343
8392.5 0.0563 0.0358
8392.6 0.0585 0.0372
8392.7 0.0608 0.0386
8392.8 0.0630 0.0401
8392.9 0.0653 0.0415
8393.0 0.0675 0.0429
8393.1 0.0698 0.0443
8393.2 0.0720 0.0458
8393.3 0.0743 0.0472
8393.4 0.0765 0.0486
8393.5 0.0788 0.0501
8393.6 0.0810 0.0515
8393.7 0.0833 0.0529
8393.8 0.0855 0.0543
8393.9 0.0878 0.0558
8394.0 0.0900 0.0572
8394.1 0.0923 0.0586
8394.2 0.0945 0.0600
8394.3 0.0968 0.0615
8394.4 0.0990 0.0629
8394.5 0.1013 0.0643
8394.6 0.1035 0.0658
8394.7 0.1058 0.0672
8394.8 0.1080 0.0686
8394.9 0.1103 0.0700
8395.0 0.1125 0.0715
8395.1 0.1148 0.0729
8395.2 0.1170 0.0743
8395.3 0.1193 0.0757
8395.4 0.1215 0.0772
8395.5 0.1238 0.0786
8395.6 0.1260 0.0800
8395.7 0.1283 0.0814
8395.8 0.1305 0.0829
8395.9 0.1328 0.0843
8396.0 0.1350 0.0857
8396.1 0.1373 0.0871
8396.2 0.1395 0.0886
8396.3 0.1418 0.0900
8396.4 0.1440 0.0914
8396.5 0.1463 0.0928
8396.6 0.1485 0.0943
8396.7 0.1508 0.0957
8396.8 0.1530 0.0971
8396.9 0.1553 0.0985
8397.0 0.1575 0.1000
8397.1 0.1598 0.1014
8397.2 0.1620 0.1028
8397.3 0.1643 0.1042
8397.4 0.1665 0.1057
8397.5 0.1688 0.1071
8397.6 0.1710 0.1085
8397.7 0.1733 0.1099
8397.8 0.1755 0.1114
8397.9 0.1778 0.1128
8398.0 0.1800 0.1142
8398.1 0.1823 0.1156
8398.2 0.1845 0.1171
8398.3 0.1868 0.1185
8398.4 0.1890 0.1199
8398.5 0.1913 0.1213
8398.6 0.1935 0.1227
8398.7 0.1958 0.1242
8398.8 0.1980 0.1256
8398.9 0.2003 0.1270
8399.0 0.2025 0.1284
8399.1 0.2048 0.1299
8399.2 0.2070 0.1313
8399.3 0.2093 0.1327
8399.4 0.2115 0.1341
8399.5 0.2138 0.1355
8399.6 0.2160 0.1370
8399.7 0.2183 0.1384
8399.8 0.2205 0.1398
8399.9 0.2228 0.1412
8400.0 0.2250 0.1427
8400.1 0.2273 0.1441
8400.2 0.2295 0.1455
8400.3 0.2318 0.1469
8400.4 0.2340 0.1483
8400.5 0.2363 0.1498
8400.6 0.2385 0.1512
8400.7 0.2408 0.1526
8400.8 0.2430 0.1540
8400.9 0.2453 0.1554
8401.0 0.2475 0.1569
8401.1 0.2498 0.1583
8401.2 0.2520 0.1597
8401.3 0.2543 0.1611
8401.4 0.2565 0.1625
8401.5 0.2588 0.1640
8401.6 0.2610 0.1654
8401.7 0.2633 0.1668
8401.8 0.2655 0.1682
8401.9 0.2678 0.1696
8402.0 0.2700 0.1711
8402.1 0.2723 0.1725
8402.2 0.2745 0.1739
8402.3 0.2768 0.1753
8402.4 0.2790 0.1767
8402.5 0.2813 0.1781
8402.6 0.2835 0.1796
8402.7 0.2858 0.1810
8402.8 0.2880 0.1824
8402.9 0.2903 0.1838
8403.0 0.2925 0.1852
8403.1 0.2948 0.1867
8403.2 0.2970 0.1881
8403.3 0.2993 0.1895
8403.4 0.3015 0.1909
8403.5 0.3038 0.1923
8403.6 0.3060 0.1937
8403.7 0.3083 0.1952
8403.8 0.3105 0.1966
8403.9 0.3128 0.1980
8404.0 0.3150 0.1994
8404.1 0.3173 0.2008
8404.2 0.3195 0.2022
8404.3 0.3218 0.2037
8404.4 0.3240 0.2051
8404.5 0.3263 0.2065
8404.6 0.3285 0.2079
8404.7 0.3308 0.2093
8404.8 0.3330 0.2107
8404.9 0.3353 0.2122
8405.0 0.3375 0.2136
8405.1 0.3398 0.2150
8405.2 0.3420 0.2164
8405.3 0.3443 0.2178
8405.4 0.3465 0.2192
8405.5 0.3488 0.2206
8405.6 0.3510 0.2221
8405.7 0.3533 0.2235
8405.8 0.3555 0.2249
8405.9 0.3578 0.2263
8406.0 0.3600 0.2277
8406.1 0.3623 0.2291
8406.2 0.3645 0.2306
8406.3 0.3668 0.2320
8406.4 0.3690 0.2334
8406.5 0.3713 0.2348
8406.6 0.3735 0.2362
8406.7 0.3758 0.2376
8406.8 0.3780 0.2390
8406.9 0.3803 0.2404
8407.0 0.3825 0.2419
8407.1 0.3848 0.2433
8407.2 0.3870 0.2447
8407.3 0.3893 0.2461
8407.4 0.3915 0.2475
8407.5 0.3938 0.2489
8407.6 0.3960 0.2503
8407.7 0.3983 0.2518
8407.8 0.4005 0.2532
8407.9 0.4028 0.2546
8408.0 0.4050 0.2560
8408.1 0.4073 0.2574
8408.2 0.4095 0.2588
8408.3 0.4118 0.2602
8408.4 0.4140 0.2616
8408.5 0.4163 0.2631
8408.6 0.4185 0.2645
8408.7 0.4208 0.2659
8408.8 0.4230 0.2673
8408.9 0.4253 0.2687
8409.0 0.4275 0.2701
8409.1 0.4298 0.2715
8409.2 0.4320 0.2729
8409.3 0.4343 0.2743
8409.4 0.4365 0.2758
8409.5 0.4388 0.2772
8409.6 0.4410 0.2786
8409.7 0.4433 0.2800
8409.8 0.4455 0.2814
8409.9 0.4478 0.2828
8410.0 0.4500 0.2842
8410.1 0.4523 0.2856
8410.2 0.4545 0.2870
8410.3 0.4568 0.2885
8410.4 0.4590 0.2899
8410.5 0.4613 0.2913
8410.6 0.4635 0.2927
8410.7 0.4658 0.2941
