# Theoretical transmission filter for J-PLUS filter g_sdss
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 4750
#    W1 (Angstroms): 1250
#    FWHM (Angstroms): 1500
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
3891.4 0.0590 0.0527
3891.5 0.0594 0.0531
3891.6 0.0598 0.0534
3891.7 0.0601 0.0537
3891.8 0.0605 0.0540
3891.9 0.0608 0.0543
3892.0 0.0612 0.0547
3892.1 0.0616 0.0550
3892.2 0.0619 0.0553
3892.3 0.0623 0.0556
3892.4 0.0626 0.0560
3892.5 0.0630 0.0563
3892.6 0.0634 0.0566
3892.7 0.0637 0.0569
3892.8 0.0641 0.0573
3892.9 0.0644 0.0576
3893.0 0.0648 0.0579
3893.1 0.0652 0.0582
3893.2 0.0655 0.0586
3893.3 0.0659 0.0589
3893.4 0.0662 0.0592
3893.5 0.0666 0.0595
3893.6 0.0670 0.0599
3893.7 0.0673 0.0602
3893.8 0.0677 0.0605
3893.9 0.0680 0.0608
3894.0 0.0684 0.0611
3894.1 0.0688 0.0615
3894.2 0.0691 0.0618
3894.3 0.0695 0.0621
3894.4 0.0698 0.0624
3894.5 0.0702 0.0628
3894.6 0.0706 0.0631
3894.7 0.0709 0.0634
3894.8 0.0713 0.0637
3894.9 0.0716 0.0641
3895.0 0.0720 0.0644
3895.1 0.0724 0.0647
3895.2 0.0727 0.0650
3895.3 0.0731 0.0654
3895.4 0.0734 0.0657
3895.5 0.0738 0.0660
3895.6 0.0742 0.0663
3895.7 0.0745 0.0667
3895.8 0.0749 0.0670
3895.9 0.0752 0.0673
3896.0 0.0756 0.0676
3896.1 0.0760 0.0680
3896.2 0.0763 0.0683
3896.3 0.0767 0.0686
3896.4 0.0770 0.0689
3896.5 0.0774 0.0693
3896.6 0.0778 0.0696
3896.7 0.0781 0.0699
3896.8 0.0785 0.0702
3896.9 0.0788 0.0706
3897.0 0.0792 0.0709
3897.1 0.0796 0.0712
3897.2 0.0799 0.0715
3897.3 0.0803 0.0719
3897.4 0.0806 0.0722
3897.5 0.0810 0.0725
3897.6 0.0814 0.0728
3897.7 0.0817 0.0732
3897.8 0.0821 0.0735
3897.9 0.0824 0.0738
3898.0 0.0828 0.0741
3898.1 0.0832 0.0745
3898.2 0.0835 0.0748
3898.3 0.0839 0.0751
3898.4 0.0842 0.0754
3898.5 0.0846 0.0758
3898.6 0.0850 0.0761
3898.7 0.0853 0.0764
3898.8 0.0857 0.0767
3898.9 0.0860 0.0771
3899.0 0.0864 0.0774
3899.1 0.0868 0.0777
3899.2 0.0871 0.0780
3899.3 0.0875 0.0784
3899.4 0.0878 0.0787
3899.5 0.0882 0.0790
3899.6 0.0886 0.0793
3899.7 0.0889 0.0797
3899.8 0.0893 0.0800
3899.9 0.0896 0.0803
3900.0 0.0900 0.0806
3900.1 0.0904 0.0810
3900.2 0.0907 0.0813
3900.3 0.0911 0.0816
3900.4 0.0914 0.0819
3900.5 0.0918 0.0823
3900.6 0.0922 0.0826
3900.7 0.0925 0.0829
3900.8 0.0929 0.0832
3900.9 0.0932 0.0836
3901.0 0.0936 0.0839
3901.1 0.0940 0.0842
3901.2 0.0943 0.0845
3901.3 0.0947 0.0849
3901.4 0.0950 0.0852
3901.5 0.0954 0.0855
3901.6 0.0958 0.0859
3901.7 0.0961 0.0862
3901.8 0.0965 0.0865
3901.9 0.0968 0.0868
3902.0 0.0972 0.0872
3902.1 0.0976 0.0875
3902.2 0.0979 0.0878
3902.3 0.0983 0.0881
3902.4 0.0986 0.0885
3902.5 0.0990 0.0888
3902.6 0.0994 0.0891
3902.7 0.0997 0.0894
3902.8 0.1001 0.0898
3902.9 0.1004 0.0901
3903.0 0.1008 0.0904
3903.1 0.1012 0.0907
3903.2 0.1015 0.0911
3903.3 0.1019 0.0914
3903.4 0.1022 0.0917
3903.5 0.1026 0.0921
3903.6 0.1030 0.0924
3903.7 0.1033 0.0927
3903.8 0.1037 0.0930
3903.9 0.1040 0.0934
3904.0 0.1044 0.0937
3904.1 0.1048 0.0940
3904.2 0.1051 0.0943
3904.3 0.1055 0.0947
3904.4 0.1058 0.0950
3904.5 0.1062 0.0953
3904.6 0.1066 0.0956
3904.7 0.1069 0.0960
3904.8 0.1073 0.0963
3904.9 0.1076 0.0966
3905.0 0.1080 0.0970
3905.1 0.1084 0.0973
3905.2 0.1087 0.0976
3905.3 0.1091 0.0979
3905.4 0.1094 0.0983
3905.5 0.1098 0.0986
3905.6 0.1102 0.0989
3905.7 0.1105 0.0992
3905.8 0.1109 0.0996
3905.9 0.1112 0.0999
3906.0 0.1116 0.1002
3906.1 0.1120 0.1005
3906.2 0.1123 0.1009
3906.3 0.1127 0.1012
3906.4 0.1130 0.1015
3906.5 0.1134 0.1019
3906.6 0.1138 0.1022
3906.7 0.1141 0.1025
3906.8 0.1145 0.1028
3906.9 0.1148 0.1032
3907.0 0.1152 0.1035
3907.1 0.1156 0.1038
3907.2 0.1159 0.1041
3907.3 0.1163 0.1045
3907.4 0.1166 0.1048
3907.5 0.1170 0.1051
3907.6 0.1174 0.1055
3907.7 0.1177 0.1058
3907.8 0.1181 0.1061
3907.9 0.1184 0.1064
3908.0 0.1188 0.1068
3908.1 0.1192 0.1071
3908.2 0.1195 0.1074
3908.3 0.1199 0.1078
3908.4 0.1202 0.1081
3908.5 0.1206 0.1084
3908.6 0.1210 0.1087
3908.7 0.1213 0.1091
3908.8 0.1217 0.1094
3908.9 0.1220 0.1097
3909.0 0.1224 0.1100
3909.1 0.1228 0.1104
3909.2 0.1231 0.1107
3909.3 0.1235 0.1110
3909.4 0.1238 0.1114
3909.5 0.1242 0.1117
3909.6 0.1246 0.1120
3909.7 0.1249 0.1123
3909.8 0.1253 0.1127
3909.9 0.1256 0.1130
3910.0 0.1260 0.1133
3910.1 0.1264 0.1137
3910.2 0.1267 0.1140
3910.3 0.1271 0.1143
3910.4 0.1274 0.1146
3910.5 0.1278 0.1150
3910.6 0.1282 0.1153
3910.7 0.1285 0.1156
3910.8 0.1289 0.1159
3910.9 0.1292 0.1163
3911.0 0.1296 0.1166
3911.1 0.1300 0.1169
3911.2 0.1303 0.1173
3911.3 0.1307 0.1176
3911.4 0.1310 0.1179
3911.5 0.1314 0.1182
3911.6 0.1318 0.1186
3911.7 0.1321 0.1189
3911.8 0.1325 0.1192
3911.9 0.1328 0.1196
3912.0 0.1332 0.1199
3912.1 0.1336 0.1202
3912.2 0.1339 0.1205
3912.3 0.1343 0.1209
3912.4 0.1346 0.1212
3912.5 0.1350 0.1215
3912.6 0.1354 0.1219
3912.7 0.1357 0.1222
3912.8 0.1361 0.1225
3912.9 0.1364 0.1228
3913.0 0.1368 0.1232
3913.1 0.1372 0.1235
3913.2 0.1375 0.1238
3913.3 0.1379 0.1242
3913.4 0.1382 0.1245
3913.5 0.1386 0.1248
3913.6 0.1390 0.1252
3913.7 0.1393 0.1255
3913.8 0.1397 0.1258
3913.9 0.1400 0.1261
3914.0 0.1404 0.1265
3914.1 0.1408 0.1268
3914.2 0.1411 0.1271
3914.3 0.1415 0.1275
3914.4 0.1418 0.1278
3914.5 0.1422 0.1281
3914.6 0.1426 0.1284
3914.7 0.1429 0.1288
3914.8 0.1433 0.1291
3914.9 0.1436 0.1294
3915.0 0.1440 0.1298
3915.1 0.1444 0.1301
3915.2 0.1447 0.1304
3915.3 0.1451 0.1307
3915.4 0.1454 0.1311
3915.5 0.1458 0.1314
3915.6 0.1462 0.1317
3915.7 0.1465 0.1321
3915.8 0.1469 0.1324
3915.9 0.1472 0.1327
3916.0 0.1476 0.1331
3916.1 0.1480 0.1334
3916.2 0.1483 0.1337
3916.3 0.1487 0.1340
3916.4 0.1490 0.1344
3916.5 0.1494 0.1347
3916.6 0.1498 0.1350
3916.7 0.1501 0.1354
3916.8 0.1505 0.1357
3916.9 0.1508 0.1360
3917.0 0.1512 0.1363
3917.1 0.1516 0.1367
3917.2 0.1519 0.1370
3917.3 0.1523 0.1373
3917.4 0.1526 0.1377
3917.5 0.1530 0.1380
3917.6 0.1534 0.1383
3917.7 0.1537 0.1387
3917.8 0.1541 0.1390
3917.9 0.1544 0.1393
3918.0 0.1548 0.1396
3918.1 0.1552 0.1400
3918.2 0.1555 0.1403
3918.3 0.1559 0.1406
3918.4 0.1562 0.1410
3918.5 0.1566 0.1413
3918.6 0.1570 0.1416
3918.7 0.1573 0.1420
3918.8 0.1577 0.1423
3918.9 0.1580 0.1426
3919.0 0.1584 0.1429
3919.1 0.1588 0.1433
3919.2 0.1591 0.1436
3919.3 0.1595 0.1439
3919.4 0.1598 0.1443
3919.5 0.1602 0.1446
3919.6 0.1606 0.1449
3919.7 0.1609 0.1453
3919.8 0.1613 0.1456
3919.9 0.1616 0.1459
3920.0 0.1620 0.1463
3920.1 0.1624 0.1466
3920.2 0.1627 0.1469
3920.3 0.1631 0.1472
3920.4 0.1634 0.1476
