# Theoretical transmission filter for J-PLUS filter r_sdss
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 6250
#    W1 (Angstroms): 1250
#    FWHM (Angstroms): 1500
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
5391.3 0.0587 0.0540
5391.4 0.0590 0.0543
5391.5 0.0594 0.0546
5391.6 0.0598 0.0550
5391.7 0.0601 0.0553
5391.8 0.0605 0.0556
5391.9 0.0608 0.0560
5392.0 0.0612 0.0563
5392.1 0.0616 0.0566
5392.2 0.0619 0.0570
5392.3 0.0623 0.0573
5392.4 0.0626 0.0576
5392.5 0.0630 0.0580
5392.6 0.0634 0.0583
5392.7 0.0637 0.0586
5392.8 0.0641 0.0590
5392.9 0.0644 0.0593
5393.0 0.0648 0.0596
5393.1 0.0652 0.0599
5393.2 0.0655 0.0603
5393.3 0.0659 0.0606
5393.4 0.0662 0.0609
5393.5 0.0666 0.0613
5393.6 0.0670 0.0616
5393.7 0.0673 0.0619
5393.8 0.0677 0.0623
5393.9 0.0680 0.0626
5394.0 0.0684 0.0629
5394.1 0.0688 0.0633
5394.2 0.0691 0.0636
5394.3 0.0695 0.0639
5394.4 0.0698 0.0643
5394.5 0.0702 0.0646
5394.6 0.0706 0.0649
5394.7 0.0709 0.0652
5394.8 0.0713 0.0656
5394.9 0.0716 0.0659
5395.0 0.0720 0.0662
5395.1 0.0724 0.0666
5395.2 0.0727 0.0669
5395.3 0.0731 0.0672
5395.4 0.0734 0.0676
5395.5 0.0738 0.0679
5395.6 0.0742 0.0682
5395.7 0.0745 0.0686
5395.8 0.0749 0.0689
5395.9 0.0752 0.0692
5396.0 0.0756 0.0696
5396.1 0.0760 0.0699
5396.2 0.0763 0.0702
5396.3 0.0767 0.0705
5396.4 0.0770 0.0709
5396.5 0.0774 0.0712
5396.6 0.0778 0.0715
5396.7 0.0781 0.0719
5396.8 0.0785 0.0722
5396.9 0.0788 0.0725
5397.0 0.0792 0.0729
5397.1 0.0796 0.0732
5397.2 0.0799 0.0735
5397.3 0.0803 0.0739
5397.4 0.0806 0.0742
5397.5 0.0810 0.0745
5397.6 0.0814 0.0749
5397.7 0.0817 0.0752
5397.8 0.0821 0.0755
5397.9 0.0824 0.0758
5398.0 0.0828 0.0762
5398.1 0.0832 0.0765
5398.2 0.0835 0.0768
5398.3 0.0839 0.0772
5398.4 0.0842 0.0775
5398.5 0.0846 0.0778
5398.6 0.0850 0.0782
5398.7 0.0853 0.0785
5398.8 0.0857 0.0788
5398.9 0.0860 0.0792
5399.0 0.0864 0.0795
5399.1 0.0868 0.0798
5399.2 0.0871 0.0802
5399.3 0.0875 0.0805
5399.4 0.0878 0.0808
5399.5 0.0882 0.0811
5399.6 0.0886 0.0815
5399.7 0.0889 0.0818
5399.8 0.0893 0.0821
5399.9 0.0896 0.0825
5400.0 0.0900 0.0828
5400.1 0.0904 0.0831
5400.2 0.0907 0.0835
5400.3 0.0911 0.0838
5400.4 0.0914 0.0841
5400.5 0.0918 0.0845
5400.6 0.0922 0.0848
5400.7 0.0925 0.0851
5400.8 0.0929 0.0854
5400.9 0.0932 0.0858
5401.0 0.0936 0.0861
5401.1 0.0940 0.0864
5401.2 0.0943 0.0868
5401.3 0.0947 0.0871
5401.4 0.0950 0.0874
5401.5 0.0954 0.0878
5401.6 0.0958 0.0881
5401.7 0.0961 0.0884
5401.8 0.0965 0.0888
5401.9 0.0968 0.0891
5402.0 0.0972 0.0894
5402.1 0.0976 0.0898
5402.2 0.0979 0.0901
5402.3 0.0983 0.0904
5402.4 0.0986 0.0907
5402.5 0.0990 0.0911
5402.6 0.0994 0.0914
5402.7 0.0997 0.0917
5402.8 0.1001 0.0921
5402.9 0.1004 0.0924
5403.0 0.1008 0.0927
5403.1 0.1012 0.0931
5403.2 0.1015 0.0934
5403.3 0.1019 0.0937
5403.4 0.1022 0.0941
5403.5 0.1026 0.0944
5403.6 0.1030 0.0947
5403.7 0.1033 0.0951
5403.8 0.1037 0.0954
5403.9 0.1040 0.0957
5404.0 0.1044 0.0960
5404.1 0.1048 0.0964
5404.2 0.1051 0.0967
5404.3 0.1055 0.0970
5404.4 0.1058 0.0974
5404.5 0.1062 0.0977
5404.6 0.1066 0.0980
5404.7 0.1069 0.0984
5404.8 0.1073 0.0987
5404.9 0.1076 0.0990
5405.0 0.1080 0.0994
5405.1 0.1084 0.0997
5405.2 0.1087 0.1000
5405.3 0.1091 0.1004
5405.4 0.1094 0.1007
5405.5 0.1098 0.1010
5405.6 0.1102 0.1013
5405.7 0.1105 0.1017
5405.8 0.1109 0.1020
5405.9 0.1112 0.1023
5406.0 0.1116 0.1027
5406.1 0.1120 0.1030
5406.2 0.1123 0.1033
5406.3 0.1127 0.1037
5406.4 0.1130 0.1040
5406.5 0.1134 0.1043
5406.6 0.1138 0.1047
5406.7 0.1141 0.1050
5406.8 0.1145 0.1053
5406.9 0.1148 0.1057
5407.0 0.1152 0.1060
5407.1 0.1156 0.1063
5407.2 0.1159 0.1066
5407.3 0.1163 0.1070
5407.4 0.1166 0.1073
5407.5 0.1170 0.1076
5407.6 0.1174 0.1080
5407.7 0.1177 0.1083
5407.8 0.1181 0.1086
5407.9 0.1184 0.1090
5408.0 0.1188 0.1093
5408.1 0.1192 0.1096
5408.2 0.1195 0.1100
5408.3 0.1199 0.1103
5408.4 0.1202 0.1106
5408.5 0.1206 0.1110
5408.6 0.1210 0.1113
5408.7 0.1213 0.1116
5408.8 0.1217 0.1119
5408.9 0.1220 0.1123
5409.0 0.1224 0.1126
5409.1 0.1228 0.1129
5409.2 0.1231 0.1133
5409.3 0.1235 0.1136
5409.4 0.1238 0.1139
5409.5 0.1242 0.1143
5409.6 0.1246 0.1146
5409.7 0.1249 0.1149
5409.8 0.1253 0.1153
5409.9 0.1256 0.1156
5410.0 0.1260 0.1159
5410.1 0.1264 0.1163
5410.2 0.1267 0.1166
5410.3 0.1271 0.1169
5410.4 0.1274 0.1172
5410.5 0.1278 0.1176
5410.6 0.1282 0.1179
5410.7 0.1285 0.1182
5410.8 0.1289 0.1186
5410.9 0.1292 0.1189
5411.0 0.1296 0.1192
5411.1 0.1300 0.1196
5411.2 0.1303 0.1199
5411.3 0.1307 0.1202
5411.4 0.1310 0.1206
5411.5 0.1314 0.1209
5411.6 0.1318 0.1212
5411.7 0.1321 0.1216
5411.8 0.1325 0.1219
5411.9 0.1328 0.1222
5412.0 0.1332 0.1225
5412.1 0.1336 0.1229
5412.2 0.1339 0.1232
5412.3 0.1343 0.1235
5412.4 0.1346 0.1239
5412.5 0.1350 0.1242
5412.6 0.1354 0.1245
5412.7 0.1357 0.1249
5412.8 0.1361 0.1252
5412.9 0.1364 0.1255
5413.0 0.1368 0.1259
5413.1 0.1372 0.1262
5413.2 0.1375 0.1265
5413.3 0.1379 0.1268
5413.4 0.1382 0.1272
5413.5 0.1386 0.1275
5413.6 0.1390 0.1278
5413.7 0.1393 0.1282
5413.8 0.1397 0.1285
5413.9 0.1400 0.1288
5414.0 0.1404 0.1292
5414.1 0.1408 0.1295
5414.2 0.1411 0.1298
5414.3 0.1415 0.1302
5414.4 0.1418 0.1305
5414.5 0.1422 0.1308
5414.6 0.1426 0.1312
5414.7 0.1429 0.1315
5414.8 0.1433 0.1318
5414.9 0.1436 0.1321
5415.0 0.1440 0.1325
5415.1 0.1444 0.1328
5415.2 0.1447 0.1331
5415.3 0.1451 0.1335
5415.4 0.1454 0.1338
5415.5 0.1458 0.1341
5415.6 0.1462 0.1345
5415.7 0.1465 0.1348
5415.8 0.1469 0.1351
5415.9 0.1472 0.1355
5416.0 0.1476 0.1358
5416.1 0.1480 0.1361
5416.2 0.1483 0.1365
5416.3 0.1487 0.1368
5416.4 0.1490 0.1371
5416.5 0.1494 0.1374
5416.6 0.1498 0.1378
5416.7 0.1501 0.1381
5416.8 0.1505 0.1384
5416.9 0.1508 0.1388
5417.0 0.1512 0.1391
5417.1 0.1516 0.1394
5417.2 0.1519 0.1398
5417.3 0.1523 0.1401
5417.4 0.1526 0.1404
5417.5 0.1530 0.1408
5417.6 0.1534 0.1411
5417.7 0.1537 0.1414
5417.8 0.1541 0.1418
5417.9 0.1544 0.1421
5418.0 0.1548 0.1424
5418.1 0.1552 0.1427
5418.2 0.1555 0.1431
5418.3 0.1559 0.1434
5418.4 0.1562 0.1437
5418.5 0.1566 0.1441
5418.6 0.1570 0.1444
5418.7 0.1573 0.1447
5418.8 0.1577 0.1451
5418.9 0.1580 0.1454
5419.0 0.1584 0.1457
5419.1 0.1588 0.1461
5419.2 0.1591 0.1464
5419.3 0.1595 0.1467
5419.4 0.1598 0.1471
