# Theoretical transmission filter for J-PLUS filter F410
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 4100
#    W1 (Angstroms): 170
#    FWHM (Angstroms): 200
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
3984.1 0.0000 0.0000
3984.2 0.0000 0.0000
3984.3 0.0000 0.0000
3984.4 0.0000 0.0000
3984.5 0.0000 0.0000
3984.6 0.0000 0.0000
3984.7 0.0000 0.0000
3984.8 0.0000 0.0000
3984.9 0.0000 0.0000
3985.0 0.0000 0.0000
3985.1 0.0030 0.0028
3985.2 0.0060 0.0055
3985.3 0.0090 0.0083
3985.4 0.0120 0.0111
3985.5 0.0150 0.0139
3985.6 0.0180 0.0167
3985.7 0.0210 0.0194
3985.8 0.0240 0.0222
3985.9 0.0270 0.0250
3986.0 0.0300 0.0278
3986.1 0.0330 0.0305
3986.2 0.0360 0.0333
3986.3 0.0390 0.0361
3986.4 0.0420 0.0389
3986.5 0.0450 0.0416
3986.6 0.0480 0.0444
3986.7 0.0510 0.0472
3986.8 0.0540 0.0500
3986.9 0.0570 0.0528
3987.0 0.0600 0.0555
3987.1 0.0630 0.0583
3987.2 0.0660 0.0611
3987.3 0.0690 0.0639
3987.4 0.0720 0.0667
3987.5 0.0750 0.0694
3987.6 0.0780 0.0722
3987.7 0.0810 0.0750
3987.8 0.0840 0.0778
3987.9 0.0870 0.0806
3988.0 0.0900 0.0833
3988.1 0.0930 0.0861
3988.2 0.0960 0.0889
3988.3 0.0990 0.0917
3988.4 0.1020 0.0945
3988.5 0.1050 0.0972
3988.6 0.1080 0.1000
3988.7 0.1110 0.1028
3988.8 0.1140 0.1056
3988.9 0.1170 0.1084
3989.0 0.1200 0.1112
3989.1 0.1230 0.1139
3989.2 0.1260 0.1167
3989.3 0.1290 0.1195
3989.4 0.1320 0.1223
3989.5 0.1350 0.1251
3989.6 0.1380 0.1279
3989.7 0.1410 0.1306
3989.8 0.1440 0.1334
3989.9 0.1470 0.1362
3990.0 0.1500 0.1390
3990.1 0.1530 0.1418
3990.2 0.1560 0.1446
3990.3 0.1590 0.1473
3990.4 0.1620 0.1501
3990.5 0.1650 0.1529
3990.6 0.1680 0.1557
3990.7 0.1710 0.1585
3990.8 0.1740 0.1613
3990.9 0.1770 0.1641
3991.0 0.1800 0.1668
3991.1 0.1830 0.1696
3991.2 0.1860 0.1724
3991.3 0.1890 0.1752
3991.4 0.1920 0.1780
3991.5 0.1950 0.1808
3991.6 0.1980 0.1836
3991.7 0.2010 0.1864
3991.8 0.2040 0.1892
3991.9 0.2070 0.1919
3992.0 0.2100 0.1947
3992.1 0.2130 0.1975
3992.2 0.2160 0.2003
3992.3 0.2190 0.2031
3992.4 0.2220 0.2059
3992.5 0.2250 0.2087
3992.6 0.2280 0.2115
3992.7 0.2310 0.2143
3992.8 0.2340 0.2170
3992.9 0.2370 0.2198
3993.0 0.2400 0.2226
3993.1 0.2430 0.2254
3993.2 0.2460 0.2282
3993.3 0.2490 0.2310
3993.4 0.2520 0.2338
3993.5 0.2550 0.2366
3993.6 0.2580 0.2394
3993.7 0.2610 0.2422
3993.8 0.2640 0.2450
3993.9 0.2670 0.2478
3994.0 0.2700 0.2505
3994.1 0.2730 0.2533
3994.2 0.2760 0.2561
3994.3 0.2790 0.2589
3994.4 0.2820 0.2617
3994.5 0.2850 0.2645
3994.6 0.2880 0.2673
3994.7 0.2910 0.2701
3994.8 0.2940 0.2729
3994.9 0.2970 0.2757
3995.0 0.3000 0.2785
3995.1 0.3030 0.2813
3995.2 0.3060 0.2841
3995.3 0.3090 0.2869
3995.4 0.3120 0.2897
3995.5 0.3150 0.2925
3995.6 0.3180 0.2953
3995.7 0.3210 0.2981
3995.8 0.3240 0.3009
3995.9 0.3270 0.3037
