# Theoretical transmission filter for J-PLUS filter F348
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 3485
#    W1 (Angstroms): 458
#    FWHM (Angstroms): 508
#    Transmission peak: 0.75
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
3205.1 0.0000 0.0000
3205.2 0.0000 0.0000
3205.3 0.0000 0.0000
3205.4 0.0000 0.0000
3205.5 0.0000 0.0000
3205.6 0.0000 0.0000
3205.7 0.0000 0.0000
3205.8 0.0000 0.0000
3205.9 0.0000 0.0000
3206.0 0.0000 0.0000
3206.1 0.0015 0.0008
3206.2 0.0030 0.0016
3206.3 0.0045 0.0024
3206.4 0.0060 0.0032
3206.5 0.0075 0.0040
3206.6 0.0090 0.0048
3206.7 0.0105 0.0056
3206.8 0.0120 0.0064
3206.9 0.0135 0.0073
3207.0 0.0150 0.0081
3207.1 0.0165 0.0089
3207.2 0.0180 0.0097
3207.3 0.0195 0.0105
3207.4 0.0210 0.0113
3207.5 0.0225 0.0121
3207.6 0.0240 0.0129
3207.7 0.0255 0.0137
3207.8 0.0270 0.0145
3207.9 0.0285 0.0153
3208.0 0.0300 0.0161
3208.1 0.0315 0.0170
3208.2 0.0330 0.0178
3208.3 0.0345 0.0186
3208.4 0.0360 0.0194
3208.5 0.0375 0.0202
3208.6 0.0390 0.0210
3208.7 0.0405 0.0218
3208.8 0.0420 0.0226
3208.9 0.0435 0.0234
3209.0 0.0450 0.0242
3209.1 0.0465 0.0251
3209.2 0.0480 0.0259
3209.3 0.0495 0.0267
3209.4 0.0510 0.0275
3209.5 0.0525 0.0283
3209.6 0.0540 0.0291
3209.7 0.0555 0.0299
3209.8 0.0570 0.0307
3209.9 0.0585 0.0316
3210.0 0.0600 0.0324
3210.1 0.0615 0.0332
3210.2 0.0630 0.0340
3210.3 0.0645 0.0348
3210.4 0.0660 0.0356
3210.5 0.0675 0.0364
3210.6 0.0690 0.0373
3210.7 0.0705 0.0381
3210.8 0.0720 0.0389
3210.9 0.0735 0.0397
3211.0 0.0750 0.0405
3211.1 0.0765 0.0413
3211.2 0.0780 0.0422
3211.3 0.0795 0.0430
3211.4 0.0810 0.0438
3211.5 0.0825 0.0446
3211.6 0.0840 0.0454
3211.7 0.0855 0.0462
3211.8 0.0870 0.0471
3211.9 0.0885 0.0479
3212.0 0.0900 0.0487
3212.1 0.0915 0.0495
3212.2 0.0930 0.0503
3212.3 0.0945 0.0512
3212.4 0.0960 0.0520
3212.5 0.0975 0.0528
3212.6 0.0990 0.0536
3212.7 0.1005 0.0544
3212.8 0.1020 0.0553
3212.9 0.1035 0.0561
3213.0 0.1050 0.0569
3213.1 0.1065 0.0577
3213.2 0.1080 0.0585
3213.3 0.1095 0.0594
3213.4 0.1110 0.0602
3213.5 0.1125 0.0610
3213.6 0.1140 0.0618
3213.7 0.1155 0.0626
3213.8 0.1170 0.0635
3213.9 0.1185 0.0643
3214.0 0.1200 0.0651
3214.1 0.1215 0.0659
3214.2 0.1230 0.0668
3214.3 0.1245 0.0676
3214.4 0.1260 0.0684
3214.5 0.1275 0.0692
3214.6 0.1290 0.0701
3214.7 0.1305 0.0709
3214.8 0.1320 0.0717
3214.9 0.1335 0.0725
3215.0 0.1350 0.0734
3215.1 0.1365 0.0742
3215.2 0.1380 0.0750
3215.3 0.1395 0.0758
3215.4 0.1410 0.0767
3215.5 0.1425 0.0775
3215.6 0.1440 0.0783
3215.7 0.1455 0.0791
3215.8 0.1470 0.0800
3215.9 0.1485 0.0808
3216.0 0.1500 0.0816
3216.1 0.1515 0.0825
3216.2 0.1530 0.0833
3216.3 0.1545 0.0841
3216.4 0.1560 0.0849
3216.5 0.1575 0.0858
3216.6 0.1590 0.0866
3216.7 0.1605 0.0874
3216.8 0.1620 0.0883
3216.9 0.1635 0.0891
3217.0 0.1650 0.0899
3217.1 0.1665 0.0907
3217.2 0.1680 0.0916
3217.3 0.1695 0.0924
3217.4 0.1710 0.0932
3217.5 0.1725 0.0941
3217.6 0.1740 0.0949
