# Theoretical transmission filter for J-PLUS filter F430
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 4300
#    W1 (Angstroms): 170
#    FWHM (Angstroms): 200
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
4184.0 0.0000 0.0000
4184.1 0.0000 0.0000
4184.2 0.0000 0.0000
4184.3 0.0000 0.0000
4184.4 0.0000 0.0000
4184.5 0.0000 0.0000
4184.6 0.0000 0.0000
4184.7 0.0000 0.0000
4184.8 0.0000 0.0000
4184.9 0.0000 0.0000
4185.0 0.0000 0.0000
4185.1 0.0030 0.0028
4185.2 0.0060 0.0057
4185.3 0.0090 0.0085
4185.4 0.0120 0.0113
4185.5 0.0150 0.0142
4185.6 0.0180 0.0170
4185.7 0.0210 0.0198
4185.8 0.0240 0.0227
4185.9 0.0270 0.0255
4186.0 0.0300 0.0283
4186.1 0.0330 0.0312
4186.2 0.0360 0.0340
4186.3 0.0390 0.0369
4186.4 0.0420 0.0397
4186.5 0.0450 0.0425
4186.6 0.0480 0.0454
4186.7 0.0510 0.0482
4186.8 0.0540 0.0510
4186.9 0.0570 0.0539
4187.0 0.0600 0.0567
4187.1 0.0630 0.0595
4187.2 0.0660 0.0624
4187.3 0.0690 0.0652
4187.4 0.0720 0.0680
4187.5 0.0750 0.0709
4187.6 0.0780 0.0737
4187.7 0.0810 0.0765
4187.8 0.0840 0.0794
4187.9 0.0870 0.0822
4188.0 0.0900 0.0851
4188.1 0.0930 0.0879
4188.2 0.0960 0.0907
4188.3 0.0990 0.0936
4188.4 0.1020 0.0964
4188.5 0.1050 0.0992
4188.6 0.1080 0.1021
4188.7 0.1110 0.1049
4188.8 0.1140 0.1077
4188.9 0.1170 0.1106
4189.0 0.1200 0.1134
4189.1 0.1230 0.1163
4189.2 0.1260 0.1191
4189.3 0.1290 0.1219
4189.4 0.1320 0.1248
4189.5 0.1350 0.1276
4189.6 0.1380 0.1304
4189.7 0.1410 0.1333
4189.8 0.1440 0.1361
4189.9 0.1470 0.1389
4190.0 0.1500 0.1418
4190.1 0.1530 0.1446
4190.2 0.1560 0.1475
4190.3 0.1590 0.1503
4190.4 0.1620 0.1531
4190.5 0.1650 0.1560
4190.6 0.1680 0.1588
4190.7 0.1710 0.1616
4190.8 0.1740 0.1645
4190.9 0.1770 0.1673
4191.0 0.1800 0.1702
4191.1 0.1830 0.1730
4191.2 0.1860 0.1758
4191.3 0.1890 0.1787
4191.4 0.1920 0.1815
4191.5 0.1950 0.1843
4191.6 0.1980 0.1872
4191.7 0.2010 0.1900
4191.8 0.2040 0.1929
4191.9 0.2070 0.1957
4192.0 0.2100 0.1985
4192.1 0.2130 0.2014
4192.2 0.2160 0.2042
4192.3 0.2190 0.2070
4192.4 0.2220 0.2099
4192.5 0.2250 0.2127
4192.6 0.2280 0.2156
4192.7 0.2310 0.2184
4192.8 0.2340 0.2212
4192.9 0.2370 0.2241
4193.0 0.2400 0.2269
4193.1 0.2430 0.2297
4193.2 0.2460 0.2326
4193.3 0.2490 0.2354
4193.4 0.2520 0.2383
4193.5 0.2550 0.2411
4193.6 0.2580 0.2439
4193.7 0.2610 0.2468
4193.8 0.2640 0.2496
4193.9 0.2670 0.2525
4194.0 0.2700 0.2553
4194.1 0.2730 0.2581
4194.2 0.2760 0.2610
4194.3 0.2790 0.2638
4194.4 0.2820 0.2666
4194.5 0.2850 0.2695
4194.6 0.2880 0.2723
4194.7 0.2910 0.2752
4194.8 0.2940 0.2780
4194.9 0.2970 0.2808
4195.0 0.3000 0.2837
4195.1 0.3030 0.2865
4195.2 0.3060 0.2894
4195.3 0.3090 0.2922
4195.4 0.3120 0.2950
4195.5 0.3150 0.2979
4195.6 0.3180 0.3007
4195.7 0.3210 0.3036
4195.8 0.3240 0.3064
4195.9 0.3270 0.3092
4196.0 0.3300 0.3121
4196.1 0.3330 0.3149
4196.2 0.3360 0.3178
4196.3 0.3390 0.3206
4196.4 0.3420 0.3234
4196.5 0.3450 0.3263
4196.6 0.3480 0.3291
4196.7 0.3510 0.3320
4196.8 0.3540 0.3348
4196.9 0.3570 0.3376
4197.0 0.3600 0.3405
4197.1 0.3630 0.3433
4197.2 0.3660 0.3462
4197.3 0.3690 0.3490
4197.4 0.3720 0.3518
4197.5 0.3750 0.3547
4197.6 0.3780 0.3575
4197.7 0.3810 0.3604
4197.8 0.3840 0.3632
4197.9 0.3870 0.3660
4198.0 0.3900 0.3689
4198.1 0.3930 0.3717
4198.2 0.3960 0.3746
4198.3 0.3990 0.3774
4198.4 0.4020 0.3802
4198.5 0.4050 0.3831
4198.6 0.4080 0.3859
4198.7 0.4110 0.3888
4198.8 0.4140 0.3916
4198.9 0.4170 0.3944
4199.0 0.4200 0.3973
4199.1 0.4230 0.4001
4199.2 0.4260 0.4030
4199.3 0.4290 0.4058
4199.4 0.4320 0.4087
4199.5 0.4350 0.4115
4199.6 0.4380 0.4143
4199.7 0.4410 0.4172
4199.8 0.4440 0.4200
4199.9 0.4470 0.4229
4200.0 0.4500 0.4257
4200.1 0.4530 0.4285
4200.2 0.4560 0.4314
4200.3 0.4590 0.4342
4200.4 0.4620 0.4371
4200.5 0.4650 0.4399
4200.6 0.4680 0.4428
4200.7 0.4710 0.4456
4200.8 0.4740 0.4484
4200.9 0.4770 0.4513
4201.0 0.4800 0.4541
4201.1 0.4830 0.4570
4201.2 0.4860 0.4598
4201.3 0.4890 0.4626
4201.4 0.4920 0.4655
4201.5 0.4950 0.4683
4201.6 0.4980 0.4712
4201.7 0.5010 0.4740
4201.8 0.5040 0.4769
4201.9 0.5070 0.4797
4202.0 0.5100 0.4825
4202.1 0.5130 0.4854
4202.2 0.5160 0.4882
4202.3 0.5190 0.4911
4202.4 0.5220 0.4939
4202.5 0.5250 0.4968
4202.6 0.5280 0.4996
4202.7 0.5310 0.5024
4202.8 0.5340 0.5053
4202.9 0.5370 0.5081
4203.0 0.5400 0.5110
4203.1 0.5430 0.5138
4203.2 0.5460 0.5167
4203.3 0.5490 0.5195
4203.4 0.5520 0.5223
4203.5 0.5550 0.5252
4203.6 0.5580 0.5280
4203.7 0.5610 0.5309
4203.8 0.5640 0.5337
4203.9 0.5670 0.5366
4204.0 0.5700 0.5394
4204.1 0.5730 0.5422
4204.2 0.5760 0.5451
4204.3 0.5790 0.5479
4204.4 0.5820 0.5508
4204.5 0.5850 0.5536
4204.6 0.5880 0.5565
4204.7 0.5910 0.5593
4204.8 0.5940 0.5622
4204.9 0.5970 0.5650
4205.0 0.6000 0.5678
4205.1 0.6030 0.5707
4205.2 0.6060 0.5735
4205.3 0.6090 0.5764
4205.4 0.6120 0.5792
4205.5 0.6150 0.5821
4205.6 0.6180 0.5849
4205.7 0.6210 0.5877
4205.8 0.6240 0.5906
4205.9 0.6270 0.5934
4206.0 0.6300 0.5963
4206.1 0.6330 0.5991
4206.2 0.6360 0.6020
4206.3 0.6390 0.6048
4206.4 0.6420 0.6077
4206.5 0.6450 0.6105
4206.6 0.6480 0.6134
4206.7 0.6510 0.6162
4206.8 0.6540 0.6190
4206.9 0.6570 0.6219
4207.0 0.6600 0.6247
4207.1 0.6630 0.6276
4207.2 0.6660 0.6304
4207.3 0.6690 0.6333
4207.4 0.6720 0.6361
4207.5 0.6750 0.6390
4207.6 0.6780 0.6418
4207.7 0.6810 0.6446
4207.8 0.6840 0.6475
4207.9 0.6870 0.6503
4208.0 0.6900 0.6532
4208.1 0.6930 0.6560
4208.2 0.6960 0.6589
4208.3 0.6990 0.6617
4208.4 0.7020 0.6646
4208.5 0.7050 0.6674
4208.6 0.7080 0.6703
4208.7 0.7110 0.6731
4208.8 0.7140 0.6759
4208.9 0.7170 0.6788
4209.0 0.7200 0.6816
4209.1 0.7230 0.6845
4209.2 0.7260 0.6873
4209.3 0.7290 0.6902
4209.4 0.7320 0.6930
4209.5 0.7350 0.6959
4209.6 0.7380 0.6987
4209.7 0.7410 0.7016
4209.8 0.7440 0.7044
4209.9 0.7470 0.7073
4210.0 0.7500 0.7101
4210.1 0.7530 0.7129
4210.2 0.7560 0.7158
4210.3 0.7590 0.7186
4210.4 0.7620 0.7215
4210.5 0.7650 0.7243
4210.6 0.7680 0.7272
4210.7 0.7710 0.7300
4210.8 0.7740 0.7329
4210.9 0.7770 0.7357
4211.0 0.7800 0.7386
4211.1 0.7830 0.7414
4211.2 0.7860 0.7443
4211.3 0.7890 0.7471
4211.4 0.7920 0.7500
4211.5 0.7950 0.7528
4211.6 0.7980 0.7556
4211.7 0.8010 0.7585
4211.8 0.8040 0.7613
4211.9 0.8070 0.7642
4212.0 0.8100 0.7670
4212.1 0.8130 0.7699
4212.2 0.8160 0.7727
4212.3 0.8190 0.7756
4212.4 0.8220 0.7784
4212.5 0.8250 0.7813
4212.6 0.8280 0.7841
4212.7 0.8310 0.7870
4212.8 0.8340 0.7898
4212.9 0.8370 0.7927
4213.0 0.8400 0.7955
4213.1 0.8430 0.7984
4213.2 0.8460 0.8012
4213.3 0.8490 0.8041
4213.4 0.8520 0.8069
4213.5 0.8550 0.8098
4213.6 0.8580 0.8126
4213.7 0.8610 0.8154
4213.8 0.8640 0.8183
4213.9 0.8670 0.8211
4214.0 0.8700 0.8240
4214.1 0.8730 0.8268
4214.2 0.8760 0.8297
4214.3 0.8790 0.8325
4214.4 0.8820 0.8354
4214.5 0.8850 0.8382
4214.6 0.8880 0.8411
4214.7 0.8910 0.8439
4214.8 0.8940 0.8468
4214.9 0.8970 0.8496
4215.0 0.9000 0.8525
4215.1 0.9000 0.8525
4215.2 0.9000 0.8525
4215.3 0.9000 0.8525
4215.4 0.9000 0.8525
4215.5 0.9000 0.8525
4215.6 0.9000 0.8525
4215.7 0.9000 0.8525
4215.8 0.9000 0.8525
4215.9 0.9000 0.8525
4216.0 0.9000 0.8526
4216.1 0.9000 0.8526
4216.2 0.9000 0.8526
4216.3 0.9000 0.8526
4216.4 0.9000 0.8526
4216.5 0.9000 0.8526
4216.6 0.9000 0.8526
4216.7 0.9000 0.8526
4216.8 0.9000 0.8526
4216.9 0.9000 0.8526
4217.0 0.9000 0.8526
4217.1 0.9000 0.8526
4217.2 0.9000 0.8526
4217.3 0.9000 0.8526
4217.4 0.9000 0.8527
4217.5 0.9000 0.8527
4217.6 0.9000 0.8527
4217.7 0.9000 0.8527
4217.8 0.9000 0.8527
4217.9 0.9000 0.8527
4218.0 0.9000 0.8527
4218.1 0.9000 0.8527
4218.2 0.9000 0.8527
4218.3 0.9000 0.8527
4218.4 0.9000 0.8527
4218.5 0.9000 0.8527
4218.6 0.9000 0.8527
4218.7 0.9000 0.8527
4218.8 0.9000 0.8528
4218.9 0.9000 0.8528
4219.0 0.9000 0.8528
4219.1 0.9000 0.8528
4219.2 0.9000 0.8528
4219.3 0.9000 0.8528
4219.4 0.9000 0.8528
4219.5 0.9000 0.8528
4219.6 0.9000 0.8528
4219.7 0.9000 0.8528
4219.8 0.9000 0.8528
4219.9 0.9000 0.8528
4220.0 0.9000 0.8528
4220.1 0.9000 0.8528
4220.2 0.9000 0.8529
4220.3 0.9000 0.8529
4220.4 0.9000 0.8529
4220.5 0.9000 0.8529
4220.6 0.9000 0.8529
4220.7 0.9000 0.8529
4220.8 0.9000 0.8529
4220.9 0.9000 0.8529
4221.0 0.9000 0.8529
4221.1 0.9000 0.8529
4221.2 0.9000 0.8529
4221.3 0.9000 0.8529
4221.4 0.9000 0.8529
4221.5 0.9000 0.8529
4221.6 0.9000 0.8530
4221.7 0.9000 0.8530
4221.8 0.9000 0.8530
4221.9 0.9000 0.8530
4222.0 0.9000 0.8530
4222.1 0.9000 0.8530
4222.2 0.9000 0.8530
4222.3 0.9000 0.8530
4222.4 0.9000 0.8530
4222.5 0.9000 0.8530
4222.6 0.9000 0.8530
4222.7 0.9000 0.8530
4222.8 0.9000 0.8530
4222.9 0.9000 0.8530
4223.0 0.9000 0.8531
4223.1 0.9000 0.8531
4223.2 0.9000 0.8531
4223.3 0.9000 0.8531
4223.4 0.9000 0.8531
4223.5 0.9000 0.8531
4223.6 0.9000 0.8531
4223.7 0.9000 0.8531
4223.8 0.9000 0.8531
4223.9 0.9000 0.8531
4224.0 0.9000 0.8531
4224.1 0.9000 0.8531
4224.2 0.9000 0.8531
4224.3 0.9000 0.8531
4224.4 0.9000 0.8532
4224.5 0.9000 0.8532
4224.6 0.9000 0.8532
4224.7 0.9000 0.8532
4224.8 0.9000 0.8532
4224.9 0.9000 0.8532
4225.0 0.9000 0.8532
4225.1 0.9000 0.8532
4225.2 0.9000 0.8532
4225.3 0.9000 0.8532
4225.4 0.9000 0.8532
4225.5 0.9000 0.8532
4225.6 0.9000 0.8532
4225.7 0.9000 0.8533
4225.8 0.9000 0.8533
4225.9 0.9000 0.8533
4226.0 0.9000 0.8533
4226.1 0.9000 0.8533
4226.2 0.9000 0.8533
4226.3 0.9000 0.8533
4226.4 0.9000 0.8533
4226.5 0.9000 0.8533
4226.6 0.9000 0.8533
4226.7 0.9000 0.8533
4226.8 0.9000 0.8533
4226.9 0.9000 0.8533
4227.0 0.9000 0.8533
4227.1 0.9000 0.8534
4227.2 0.9000 0.8534
4227.3 0.9000 0.8534
4227.4 0.9000 0.8534
4227.5 0.9000 0.8534
4227.6 0.9000 0.8534
4227.7 0.9000 0.8534
4227.8 0.9000 0.8534
4227.9 0.9000 0.8534
4228.0 0.9000 0.8534
