# Theoretical transmission filter for J-PLUS filter F395
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 3950
#    W1 (Angstroms): 70
#    FWHM (Angstroms): 100
#    Transmission peak: 0.75
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
3901.4 0.4100 0.3676
3901.5 0.4125 0.3698
3901.6 0.4150 0.3721
3901.7 0.4175 0.3743
3901.8 0.4200 0.3766
3901.9 0.4225 0.3788
3902.0 0.4250 0.3811
3902.1 0.4275 0.3833
3902.2 0.4300 0.3856
3902.3 0.4325 0.3879
3902.4 0.4350 0.3901
3902.5 0.4375 0.3924
3902.6 0.4400 0.3946
3902.7 0.4425 0.3969
3902.8 0.4450 0.3991
3902.9 0.4475 0.4014
3903.0 0.4500 0.4037
3903.1 0.4525 0.4059
3903.2 0.4550 0.4082
3903.3 0.4575 0.4104
3903.4 0.4600 0.4127
3903.5 0.4625 0.4150
3903.6 0.4650 0.4172
3903.7 0.4675 0.4195
3903.8 0.4700 0.4217
3903.9 0.4725 0.4240
3904.0 0.4750 0.4262
3904.1 0.4775 0.4285
3904.2 0.4800 0.4308
3904.3 0.4825 0.4330
3904.4 0.4850 0.4353
3904.5 0.4875 0.4375
3904.6 0.4900 0.4398
3904.7 0.4925 0.4421
3904.8 0.4950 0.4443
3904.9 0.4975 0.4466
3905.0 0.5000 0.4488
3905.1 0.5025 0.4511
3905.2 0.5050 0.4534
3905.3 0.5075 0.4556
3905.4 0.5100 0.4579
3905.5 0.5125 0.4602
3905.6 0.5150 0.4624
3905.7 0.5175 0.4647
3905.8 0.5200 0.4669
3905.9 0.5225 0.4692
3906.0 0.5250 0.4715
3906.1 0.5275 0.4737
3906.2 0.5300 0.4760
3906.3 0.5325 0.4783
3906.4 0.5350 0.4805
3906.5 0.5375 0.4828
3906.6 0.5400 0.4851
3906.7 0.5425 0.4873
3906.8 0.5450 0.4896
3906.9 0.5475 0.4918
3907.0 0.5500 0.4941
3907.1 0.5525 0.4964
3907.2 0.5550 0.4986
3907.3 0.5575 0.5009
3907.4 0.5600 0.5032
3907.5 0.5625 0.5054
3907.6 0.5650 0.5077
3907.7 0.5675 0.5100
3907.8 0.5700 0.5122
3907.9 0.5725 0.5145
3908.0 0.5750 0.5168
3908.1 0.5775 0.5190
3908.2 0.5800 0.5213
3908.3 0.5825 0.5236
3908.4 0.5850 0.5258
3908.5 0.5875 0.5281
3908.6 0.5900 0.5304
3908.7 0.5925 0.5326
3908.8 0.5950 0.5349
3908.9 0.5975 0.5372
3909.0 0.6000 0.5394
3909.1 0.6025 0.5417
3909.2 0.6050 0.5440
3909.3 0.6075 0.5462
3909.4 0.6100 0.5485
3909.5 0.6125 0.5508
3909.6 0.6150 0.5530
3909.7 0.6175 0.5553
3909.8 0.6200 0.5576
3909.9 0.6225 0.5599
3910.0 0.6250 0.5621
3910.1 0.6275 0.5644
3910.2 0.6300 0.5667
3910.3 0.6325 0.5689
3910.4 0.6350 0.5712
3910.5 0.6375 0.5735
3910.6 0.6400 0.5757
3910.7 0.6425 0.5780
3910.8 0.6450 0.5803
3910.9 0.6475 0.5826
3911.0 0.6500 0.5848
3911.1 0.6525 0.5871
3911.2 0.6550 0.5894
3911.3 0.6575 0.5916
3911.4 0.6600 0.5939
3911.5 0.6625 0.5962
3911.6 0.6650 0.5985
3911.7 0.6675 0.6007
3911.8 0.6700 0.6030
3911.9 0.6725 0.6053
3912.0 0.6750 0.6076
