# Theoretical transmission filter for J-PLUS filter F515
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 5150
#    W1 (Angstroms): 170
#    FWHM (Angstroms): 200
#    Transmission peak: 0.90
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
5034.0 0.0000 0.0000
5034.1 0.0000 0.0000
5034.2 0.0000 0.0000
5034.3 0.0000 0.0000
5034.4 0.0000 0.0000
5034.5 0.0000 0.0000
5034.6 0.0000 0.0000
5034.7 0.0000 0.0000
5034.8 0.0000 0.0000
5034.9 0.0000 0.0000
5035.0 0.0000 0.0000
5035.1 0.0030 0.0028
5035.2 0.0060 0.0055
5035.3 0.0090 0.0083
5035.4 0.0120 0.0110
5035.5 0.0150 0.0138
5035.6 0.0180 0.0166
5035.7 0.0210 0.0193
5035.8 0.0240 0.0221
5035.9 0.0270 0.0248
5036.0 0.0300 0.0276
5036.1 0.0330 0.0304
5036.2 0.0360 0.0331
5036.3 0.0390 0.0359
5036.4 0.0420 0.0386
5036.5 0.0450 0.0414
5036.6 0.0480 0.0442
5036.7 0.0510 0.0469
5036.8 0.0540 0.0497
5036.9 0.0570 0.0524
5037.0 0.0600 0.0552
5037.1 0.0630 0.0580
5037.2 0.0660 0.0607
5037.3 0.0690 0.0635
5037.4 0.0720 0.0662
5037.5 0.0750 0.0690
5037.6 0.0780 0.0718
5037.7 0.0810 0.0745
5037.8 0.0840 0.0773
5037.9 0.0870 0.0800
5038.0 0.0900 0.0828
5038.1 0.0930 0.0856
5038.2 0.0960 0.0883
5038.3 0.0990 0.0911
5038.4 0.1020 0.0938
5038.5 0.1050 0.0966
5038.6 0.1080 0.0994
5038.7 0.1110 0.1021
5038.8 0.1140 0.1049
5038.9 0.1170 0.1076
5039.0 0.1200 0.1104
5039.1 0.1230 0.1132
5039.2 0.1260 0.1159
5039.3 0.1290 0.1187
5039.4 0.1320 0.1214
5039.5 0.1350 0.1242
5039.6 0.1380 0.1270
5039.7 0.1410 0.1297
5039.8 0.1440 0.1325
5039.9 0.1470 0.1352
5040.0 0.1500 0.1380
5040.1 0.1530 0.1408
5040.2 0.1560 0.1435
5040.3 0.1590 0.1463
5040.4 0.1620 0.1490
5040.5 0.1650 0.1518
5040.6 0.1680 0.1546
5040.7 0.1710 0.1573
5040.8 0.1740 0.1601
5040.9 0.1770 0.1628
5041.0 0.1800 0.1656
5041.1 0.1830 0.1684
5041.2 0.1860 0.1711
5041.3 0.1890 0.1739
5041.4 0.1920 0.1766
5041.5 0.1950 0.1794
5041.6 0.1980 0.1822
5041.7 0.2010 0.1849
5041.8 0.2040 0.1877
5041.9 0.2070 0.1904
5042.0 0.2100 0.1932
5042.1 0.2130 0.1960
5042.2 0.2160 0.1987
5042.3 0.2190 0.2015
5042.4 0.2220 0.2042
5042.5 0.2250 0.2070
5042.6 0.2280 0.2098
5042.7 0.2310 0.2125
5042.8 0.2340 0.2153
5042.9 0.2370 0.2180
5043.0 0.2400 0.2208
5043.1 0.2430 0.2236
5043.2 0.2460 0.2263
5043.3 0.2490 0.2291
5043.4 0.2520 0.2318
5043.5 0.2550 0.2346
5043.6 0.2580 0.2374
5043.7 0.2610 0.2401
5043.8 0.2640 0.2429
5043.9 0.2670 0.2456
