# Theoretical transmission filter for J-PLUS filter F378
# Date of creation: 2013-01-17
# Author: J. Varela
# 
# Requirements:
#    Central wavelength (Angstroms): 3785
#    W1 (Angstroms): 138
#    FWHM (Angstroms): 168
#    Transmission peak: 0.75
#
# Columns description:
#    wl: Wavelength in Angstroms
#    T: Transmission
#    T+CCD: Transmission Filter+CCD
#
# wl   T  T+CCD
3685.1 0.0000 0.0000
3685.2 0.0000 0.0000
3685.3 0.0000 0.0000
3685.4 0.0000 0.0000
3685.5 0.0000 0.0000
3685.6 0.0000 0.0000
3685.7 0.0000 0.0000
3685.8 0.0000 0.0000
3685.9 0.0000 0.0000
3686.0 0.0000 0.0000
3686.1 0.0025 0.0021
3686.2 0.0050 0.0041
3686.3 0.0075 0.0062
3686.4 0.0100 0.0082
3686.5 0.0125 0.0103
3686.6 0.0150 0.0124
3686.7 0.0175 0.0144
3686.8 0.0200 0.0165
3686.9 0.0225 0.0185
3687.0 0.0250 0.0206
3687.1 0.0275 0.0226
3687.2 0.0300 0.0247
3687.3 0.0325 0.0268
3687.4 0.0350 0.0288
3687.5 0.0375 0.0309
3687.6 0.0400 0.0330
3687.7 0.0425 0.0350
3687.8 0.0450 0.0371
3687.9 0.0475 0.0391
3688.0 0.0500 0.0412
3688.1 0.0525 0.0433
3688.2 0.0550 0.0453
3688.3 0.0575 0.0474
3688.4 0.0600 0.0494
3688.5 0.0625 0.0515
3688.6 0.0650 0.0536
3688.7 0.0675 0.0556
3688.8 0.0700 0.0577
3688.9 0.0725 0.0598
3689.0 0.0750 0.0618
3689.1 0.0775 0.0639
3689.2 0.0800 0.0659
3689.3 0.0825 0.0680
3689.4 0.0850 0.0701
3689.5 0.0875 0.0721
3689.6 0.0900 0.0742
3689.7 0.0925 0.0763
3689.8 0.0950 0.0783
3689.9 0.0975 0.0804
3690.0 0.1000 0.0825
3690.1 0.1025 0.0845
3690.2 0.1050 0.0866
3690.3 0.1075 0.0887
3690.4 0.1100 0.0907
3690.5 0.1125 0.0928
3690.6 0.1150 0.0949
3690.7 0.1175 0.0969
3690.8 0.1200 0.0990
3690.9 0.1225 0.1011
3691.0 0.1250 0.1031
3691.1 0.1275 0.1052
3691.2 0.1300 0.1073
3691.3 0.1325 0.1093
3691.4 0.1350 0.1114
3691.5 0.1375 0.1135
3691.6 0.1400 0.1155
3691.7 0.1425 0.1176
3691.8 0.1450 0.1197
3691.9 0.1475 0.1217
3692.0 0.1500 0.1238
3692.1 0.1525 0.1259
3692.2 0.1550 0.1279
3692.3 0.1575 0.1300
3692.4 0.1600 0.1321
3692.5 0.1625 0.1341
3692.6 0.1650 0.1362
3692.7 0.1675 0.1383
3692.8 0.1700 0.1403
3692.9 0.1725 0.1424
3693.0 0.1750 0.1445
3693.1 0.1775 0.1466
3693.2 0.1800 0.1486
3693.3 0.1825 0.1507
3693.4 0.1850 0.1528
3693.5 0.1875 0.1548
3693.6 0.1900 0.1569
3693.7 0.1925 0.1590
3693.8 0.1950 0.1610
3693.9 0.1975 0.1631
3694.0 0.2000 0.1652
3694.1 0.2025 0.1673
3694.2 0.2050 0.1693
3694.3 0.2075 0.1714
3694.4 0.2100 0.1735
3694.5 0.2125 0.1756
3694.6 0.2150 0.1776
3694.7 0.2175 0.1797
3694.8 0.2200 0.1818
3694.9 0.2225 0.1838
3695.0 0.2250 0.1859
3695.1 0.2275 0.1880
3695.2 0.2300 0.1901
3695.3 0.2325 0.1921
3695.4 0.2350 0.1942
3695.5 0.2375 0.1963
3695.6 0.2400 0.1984
3695.7 0.2425 0.2004
3695.8 0.2450 0.2025
3695.9 0.2475 0.2046
3696.0 0.2500 0.2067
3696.1 0.2525 0.2087
3696.2 0.2550 0.2108
3696.3 0.2575 0.2129
3696.4 0.2600 0.2150
3696.5 0.2625 0.2170
3696.6 0.2650 0.2191
3696.7 0.2675 0.2212
3696.8 0.2700 0.2233
3696.9 0.2725 0.2253
3697.0 0.2750 0.2274
3697.1 0.2775 0.2295
3697.2 0.2800 0.2316
3697.3 0.2825 0.2337
3697.4 0.2850 0.2357
3697.5 0.2875 0.2378
3697.6 0.2900 0.2399
3697.7 0.2925 0.2420
3697.8 0.2950 0.2440
3697.9 0.2975 0.2461
3698.0 0.3000 0.2482
3698.1 0.3025 0.2503
3698.2 0.3050 0.2524
3698.3 0.3075 0.2544
3698.4 0.3100 0.2565
3698.5 0.3125 0.2586
3698.6 0.3150 0.2607
3698.7 0.3175 0.2627
3698.8 0.3200 0.2648
3698.9 0.3225 0.2669
3699.0 0.3250 0.2690
3699.1 0.3275 0.2711
3699.2 0.3300 0.2732
3699.3 0.3325 0.2752
3699.4 0.3350 0.2773
3699.5 0.3375 0.2794
3699.6 0.3400 0.2815
3699.7 0.3425 0.2836
3699.8 0.3450 0.2856
3699.9 0.3475 0.2877
3700.0 0.3500 0.2898
3700.1 0.3525 0.2919
3700.2 0.3550 0.2940
3700.3 0.3575 0.2960
3700.4 0.3600 0.2981
3700.5 0.3625 0.3002
3700.6 0.3650 0.3023
3700.7 0.3675 0.3044
3700.8 0.3700 0.3065
3700.9 0.3725 0.3085
3701.0 0.3750 0.3106
3701.1 0.3775 0.3127
3701.2 0.3800 0.3148
3701.3 0.3825 0.3169
3701.4 0.3850 0.3190
3701.5 0.3875 0.3210
3701.6 0.3900 0.3231
3701.7 0.3925 0.3252
3701.8 0.3950 0.3273
3701.9 0.3975 0.3294
3702.0 0.4000 0.3315
3702.1 0.4025 0.3336
3702.2 0.4050 0.3356
3702.3 0.4075 0.3377
3702.4 0.4100 0.3398
3702.5 0.4125 0.3419
3702.6 0.4150 0.3440
3702.7 0.4175 0.3461
