Wavelength_microns Throughput
0.5505 7.142731093821819e-13
0.5515 8.039009573274753e-13
0.5525 9.671295934624183e-11
0.5535 2.797987081708555e-10
0.5545 1.0656751165045065e-12
0.5555 1.1335013684890235e-12
0.5565 5.216867721883317e-10
0.5575 1.0443445863102772e-09
0.5585 7.56071237270937e-10
0.5595 6.79358531813415e-10
0.5605 2.7582405554998324e-10
0.5615 1.1769996193376985e-10
0.5625 2.347260738176434e-10
0.5635 1.1887465935361799e-12
0.5645 1.4672313826348682e-12
0.5655 1.7937096561719032e-12
0.5665 2.096601041789142e-12
0.5675 4.42452708758117e-10
0.5685 2.566194686988565e-12
0.5695 2.737522327549273e-12
0.5705 7.870697815612373e-10
0.5715 4.377939231347566e-09
0.5725 2.498492579379798e-09
0.5735 4.674731988886582e-09
0.5745 5.479014175534694e-09
0.5755 4.624919314694245e-09
0.5765 4.581349393960601e-09
0.5775 2.55756345828983e-12
0.5785 2.403677633039466e-12
0.5795 2.3321404437748597e-12
0.5805 2.429785328235523e-12
0.5815 1.1993462402647977e-09
0.5825 1.9439799198703583e-09
0.5835 5.846376020397717e-10
0.5845 4.396769030119592e-12
0.5855 1.1999403556500547e-09
0.5865 4.278859790951472e-09
0.5875 1.2025309188629646e-08
0.5885 1.0436764847972754e-09
0.5895 6.956457381469533e-09
0.5905 3.764424038652063e-09
0.5915 3.845790055685732e-09
0.5925 4.890071450259252e-09
0.5935 8.821833549915148e-12
0.5945 9.125155661808651e-12
0.5955 3.417109507392523e-09
0.5965 9.543852119647143e-12
0.5975 7.965743470667433e-10
0.5985 1.2400254645079191e-08
0.5995 9.945409743430672e-12
0.6005 1.858750339739073e-08
0.6015 1.9786167103522987e-09
0.6025 7.737930590918899e-09
0.6035 5.751465272084423e-09
0.6045 2.7939093862939863e-09
0.6055 5.913442279038918e-09
0.6065 9.3501845850623e-09
0.6075 1.498944643032923e-08
0.6085 3.4919445271576316e-09
0.6095 2.43379444278198e-09
0.6105 1.2096281641997253e-11
0.6115 1.0894500754423747e-08
0.6125 2.505166542893022e-09
0.6135 1.3679029226693132e-08
0.6145 1.0094568623905182e-08
0.6155 1.218028142537496e-08
0.6165 1.1639707795739906e-08
0.6175 1.980974638048085e-08
0.6185 2.5716984615740277e-08
0.6195 1.1734186279849057e-08
0.6205 2.072640616130138e-08
0.6215 1.3289320518570321e-08
0.6225 1.6367660529077047e-08
0.6235 3.250641210029253e-08
0.6245 4.065294030282272e-08
0.6255 3.819415686708816e-09
0.6265 2.4048501036583153e-08
0.6275 3.517855343875919e-08
0.6285 3.696070719738431e-08
0.6295 1.505958982156371e-11
0.6305 1.5967276364309425e-08
0.6315 5.112028363602412e-08
0.6325 2.4217631492142293e-08
0.6335 4.70002942993685e-08
0.6345 4.343549620644933e-08
0.6355 7.677290395718925e-08
0.6365 4.944726326171183e-08
0.6375 8.488773629248101e-08
0.6385 5.7238634514541364e-08
0.6395 1.1433523233889254e-07
0.6405 8.178526215778858e-08
0.6415 7.988879428450696e-08
0.6425 7.104813293015697e-08
0.6435 1.257205461104911e-07
0.6445 1.379649096509593e-07
