Wavelength_microns Throughput
0.5504000244140625 9.005328746710116e-13
0.5514000244140626 7.477166081740161e-13
0.5524000244140626 5.861794096758799e-13
0.5534000244140626 3.531541637773346e-13
0.5544000244140626 2.148542546035313e-12
0.5554000244140626 1.5844190857678043e-12
0.5564000244140626 3.0035081116457645e-12
0.5574000244140624 1.2336458433890822e-12
0.5584000244140624 1.9711121612185475e-12
0.5594000244140624 5.061182576120029e-13
0.5604000244140624 1.1706021114083206e-12
0.5614000244140624 9.46602142309636e-13
0.5624000244140624 3.9187301480269654e-13
0.5634000244140625 4.357312352198817e-13
0.5644000244140625 1.0256944962215252e-12
0.5654000244140625 7.632160371216952e-13
0.5664000244140625 1.4654107658028346e-12
0.5674000244140625 1.6766849430625355e-12
0.5684000244140625 1.3532383502695173e-12
0.5694000244140625 9.409931361538423e-13
0.5704000244140625 7.630827670885801e-16
0.5714000244140625 8.363826671196145e-16
0.5724000244140625 9.840961210611805e-16
0.5734000244140625 3.2170275686508836e-13
0.5744000244140625 2.4749953281667724e-13
0.5754000244140625 2.4854449578416086e-13
0.5764000244140625 4.948274196889848e-13
0.5774000244140625 1.756117418232806e-15
0.5784000244140625 1.354445314830882e-12
0.5794000244140625 1.939227721558216e-15
0.5804000244140625 2.51628467530719e-12
0.5814000244140625 5.461209596524173e-12
0.5824000244140625 7.25995621664018e-13
0.5834000244140625 1.4426420133712738e-12
0.5844000244140625 4.148928741823713e-12
0.5854000244140625 5.59923365705041e-12
0.5864000244140625 3.7654791868963676e-14
0.5874000244140625 4.1776720671065e-12
0.5884000244140625 1.7416621886437535e-11
0.5894000244140625 1.548400908211578e-12
0.5904000244140625 2.2338672930051856e-11
0.5914000244140625 6.76518286161057e-12
0.5924000244140625 5.6060044027733244e-12
0.5934000244140625 1.925573711695659e-12
0.5944000244140625 3.3330440722848187e-15
0.5954000244140625 3.1718569813361426e-15
0.5964000244140625 1.4277562613316359e-12
0.5974000244140625 2.9161995327324025e-12
0.5984000244140625 4.318931253329259e-12
0.5994000244140625 3.510779548886056e-15
0.6004000244140625 2.8328079517756873e-12
0.6014000244140625 3.648520039959976e-12
0.6024000244140625 4.098852273755364e-12
0.6034000244140625 4.4151519195813706e-12
0.6044000244140625 7.596655245389985e-15
0.6054000244140625 3.414894175484283e-12
0.6064000244140625 1.1722566936380201e-11
0.6074000244140625 6.472813423804688e-12
0.6084000244140625 9.149445586805856e-12
0.6094000244140625 6.748295584035135e-12
0.6104000244140625 1.5944084571431778e-13
0.6114000244140625 6.995975769454838e-12
0.6124000244140625 9.291211505276802e-12
0.6134000244140625 9.04956696837716e-12
0.6144000244140625 5.227193533900842e-15
0.6154000244140625 4.175797077745906e-12
0.6164000244140625 2.109161718703007e-12
0.6174000244140625 8.23069757218109e-13
0.6184000244140625 2.964021815711159e-12
0.6194000244140625 1.6693119507593322e-12
0.6204000244140625 1.6988393489508174e-12
0.6214000244140625 3.4491535835914393e-12
0.6224000244140625 4.0923367296639733e-13
0.6234000244140625 4.358523388065138e-15
0.6244000244140625 1.672056403211538e-12
0.6254000244140625 6.064908001127914e-15
0.6264000244140625 7.0489811631684245e-12
0.6274000244140625 1.0409581990720564e-14
0.6284000244140625 8.431714158967366e-12
0.6294000244140625 2.2191807951076842e-14
0.6304000244140625 3.228163380952416e-14
0.6314000244140625 1.97565220022982e-11
0.6324000244140625 2.8413754535590206e-11
0.6334000244140625 2.4445605381681158e-11
0.6344000244140625 3.744210701969362e-14
0.6354000244140625 2.910807211216756e-14
0.6364000244140625 2.3181893436330836e-14
0.6374000244140625 1.5611197125288153e-11
0.6384000244140625 4.022239254041618e-12
0.6394000244140625 2.2278167470774835e-11
0.6404000244140625 1.264230080722658e-12
0.6414000244140625 1.4138589042830941e-12
0.6424000244140625 3.937451220714493e-12
0.6434000244140625 1.6056567928178877e-11
0.6444000244140625 9.35074797693093e-12
0.6454000244140625 4.289332771982011e-12
0.6464000244140625 1.2104793449801217e-12
0.6474000244140625 2.1789364456699733e-11
0.6484000244140625 1.679736024152264e-12
0.6494000244140625 3.110381075353112e-12
0.6504000244140625 6.609243401214773e-12
0.6514000244140625 9.197235876165515e-12
0.6524000244140625 8.129048602989284e-15
0.6534000244140625 5.810863826394257e-12
0.6544000244140625 9.052683727215037e-12
0.6554000244140625 4.628701247988196e-12
0.6564000244140625 7.207695513249086e-12
0.6574000244140625 1.1054305857928838e-14
0.6584000244140625 1.3163002063829502e-14
0.6594000244140625 4.143895321396437e-11
0.6604000244140625 1.6920575858837526e-11
0.6614000244140625 8.17145329777879e-12
0.6624000244140625 1.1256013428207795e-11
0.6634000244140625 3.2214561442590846e-11
0.6644000244140625 1.3928459134234658e-11
0.6654000244140625 9.058302131666346e-12
0.6664000244140625 1.9102872900458676e-11
0.6674000244140625 7.383233339932467e-12
0.6684000244140625 7.730355167525311e-12
0.6694000244140625 1.1640747385426905e-11
0.6704000244140625 5.3765732197157774e-12
0.6714000244140625 7.724079984688383e-12
0.6724000244140625 2.398901633157473e-11
0.6734000244140625 5.827377958082694e-12
0.6744000244140625 2.9899078330759276e-11
0.6754000244140625 2.630937173777341e-11
0.6764000244140626 1.3048048380456802e-11
0.6774000244140626 1.5701748481867467e-11
0.6784000244140626 3.189435746343473e-11
0.6794000244140626 1.8793116808827972e-11
0.6804000244140626 2.541798946484564e-11
0.6814000244140626 2.923019409434012e-11
0.6824000244140624 1.592451873182022e-11
0.6834000244140624 2.443767924081579e-11
0.6844000244140624 2.2877112129256816e-11
0.6854000244140624 2.2027434376228586e-11
