Wavelength_microns Throughput
2.0004663860000003 1.2791299040985518e-15
2.002074478 5.183649531606889e-16
2.00368257 1.3705363889736054e-16
2.005290662 1.585454537303546e-17
2.006898754 8.439493557253085e-17
2.008506846 1.8646727173424453e-16
2.010114938 2.0328615382211017e-16
2.01172303 6.793053795385717e-17
2.013331122 3.296413488163434e-17
2.014939214 5.748246505152726e-17
2.016547306 9.520753145614414e-17
2.018155398 3.650929811069033e-17
2.01976349 3.7020668160413394e-17
2.021371582 9.602914709878306e-17
2.022979674 1.2934813526681828e-16
2.0245877660000002 9.027858435315603e-17
2.026195858 5.600955327608995e-17
2.027803949 3.943173382723429e-17
2.029412041 1.501586622736411e-17
2.031020133 7.641520225491848e-18
2.032628225 8.564933733906014e-18
2.034236317 1.8798210128881177e-17
2.035844409 1.990278454623751e-18
2.037452501 4.83058938678828e-20
2.039060593 3.913085028467546e-20
2.040668685 1.272253260416432e-19
2.042276777 4.399894611665781e-19
2.0438848689999998 4.454810159230168e-18
2.045492961 1.3961835250385886e-17
2.047101053 3.2611474895746066e-17
2.0487091449999997 6.606448854551463e-17
2.0503172370000002 1.088778820833621e-16
2.0519253290000004 3.011796225641784e-17
2.053533421 7.547556379775036e-18
2.055141513 3.5592980393122325e-18
2.056749605 4.063602258914859e-18
2.058357697 1.048095915086445e-18
2.059965788 7.700199615665258e-20
2.06157388 1.4191951442042837e-19
2.0631819719999998 4.0167734709289895e-18
2.064790064 3.50144587083776e-18
2.066398156 1.5370908408041695e-19
2.068006248 2.1413527514100354e-19
2.06961434 1.0487784542640127e-17
2.071222432 8.904968158648054e-17
2.072830524 7.956805394766147e-17
2.074438616 1.4798086111144624e-17
2.076046708 2.511250662732275e-19
2.0776548 6.435179509458915e-20
2.079262892 1.9795788540626066e-18
2.080870984 1.4681787767610324e-17
2.0824790760000003 7.366692689910331e-19
2.084087168 1.2801609539329787e-19
2.08569526 2.915884149487217e-18
2.0873033519999997 1.219433946226083e-16
2.088911444 3.839044026387388e-18
2.090519536 2.1155201123490078e-19
2.092127627 4.731764162604374e-18
2.0937357189999997 2.1280471740101072e-16
2.0953438110000002 1.1795970125826832e-16
2.0969519030000003 6.991653011645475e-17
2.098559995 1.1658866210815589e-17
2.100168087 1.2226295183468436e-17
2.101776179 5.2305342353144446e-17
2.103384271 4.967228934184967e-16
2.104992363 2.202739512319823e-16
2.1066004549999997 4.253828414440632e-18
2.1082085470000003 2.4182187409264726e-18
2.109816639 1.2871960065213025e-16
2.111424731 8.481647517907531e-16
2.113032823 2.494370420193905e-17
2.114640915 2.1807667117084968e-18
2.116249007 5.252281547953398e-18
2.1178570989999996 1.2928909740445779e-17
2.1194651909999997 3.1891283594069243e-18
2.1210732830000003 1.1101422186622403e-18
2.122681375 3.0251970702531556e-18
2.124289466 2.949157649804052e-17
2.125897558 1.7086136378815055e-16
2.1275056500000002 7.643574750185159e-16
2.129113742 2.9437606170690605e-16
2.130721834 8.408228805437906e-18
2.1323299259999997 3.556252427520634e-18
2.133938018 1.5461307798582556e-16
2.1355461100000004 2.354840734829952e-15
2.137154202 5.5341654219346115e-17
2.138762294 1.4377145205614075e-18
2.140370386 3.3267692483903654e-18
2.141978478 1.0158993079830348e-17
2.14358657 4.836537356483214e-18
2.1451946619999998 1.384843790071433e-18
2.146802754 4.144840143697098e-18
2.1484108460000004 1.3803718494220537e-16
2.150018938 1.620354420598076e-15
2.15162703 1.7517761171163692e-15
2.153235122 1.4140328278738086e-15
2.154843214 1.804550699145264e-16
2.156451305 5.607197727079996e-17
2.158059397 2.1477696879080153e-17
2.159667489 1.2190983994934247e-17
2.161275581 6.771861531595655e-18
2.1628836729999996 2.054436642898287e-18
2.164491765 3.663795302143649e-18
2.1660998570000003 1.266411318008221e-16
2.167707949 1.6754005870426345e-15
2.169316041 5.4716003312176796e-17
2.170924133 2.8343142305607324e-18
2.172532225 4.519946096470526e-17
2.174140317 1.4923918961245455e-15
2.1757484089999997 5.2364723012772455e-15
2.177356501 5.277671982838169e-15
2.1789645930000003 3.3768819680644377e-15
2.180572685 1.73075494754789e-15
2.182180777 9.833232734701127e-16
2.183788869 1.0319000617159691e-16
2.185396961 2.3259814380278016e-17
2.187005053 4.340570064036381e-18
2.1886131449999997 1.44839669560705e-18
2.1902212359999997 1.6150772922753216e-18
2.191829328 5.954615039104284e-18
2.1934374200000004 3.0833142919067554e-17
2.195045512 1.027624249003902e-17
2.196653604 3.881483231869605e-18
2.198261696 6.66292694390475e-17
2.199869788 2.536912154513597e-15
2.20147788 6.8840690206045365e-15
2.203085972 5.498143009557796e-15
2.204694064 4.518421327590077e-15
2.206302156 2.2469366988201425e-15
2.207910248 1.2903561259427979e-15
2.2095183400000002 8.430841330259064e-16
2.211126432 1.4108377513902653e-15
2.212734524 1.1563155850832325e-15
2.2143426159999997 9.701063184589014e-17
2.215950708 1.9561263965318448e-17
2.2175588 6.201796650287851e-17
2.219166892 2.0552056999201397e-16
2.220774984 1.1298873109861066e-16
2.222383075 4.5941800476988416e-17
2.2239911670000003 5.049087772153531e-17
2.225599259 1.5911633479747143e-16
2.227207351 3.7697263700618516e-16
2.228815443 4.87676491518818e-16
2.230423535 2.162804008778398e-15
2.232031627 9.513149105147185e-16
2.2336397189999997 2.245784085676825e-16
2.2352478110000003 3.6861530374092275e-16
2.236855903 4.643869836346968e-15
2.238463995 9.943452003994618e-14
2.240072087 2.6031225168243985e-14
2.241680179 8.755814732222462e-15
2.243288271 3.2973446659869364e-15
2.2448963629999996 1.2689661787698346e-15
2.2465044549999997 1.2651052966329178e-15
2.2481125470000003 3.845241043776238e-16
2.249720639 1.1945756761819978e-16
2.251328731 2.1558868293632327e-16
2.252936823 8.931597730661388e-16
2.2545449140000002 1.9481298675723007e-15
2.256153006 5.899521486040659e-16
2.257761098 1.8541270179294024e-16
2.2593691899999997 6.181270252829731e-16
2.260977282 4.659483537040619e-15
2.262585374 3.148376812539146e-14
2.264193466 1.7492708072269462e-13
2.265801558 1.259379857889981e-12
2.2674096500000003 9.64633648996077e-13
2.269017742 7.94403687525536e-13
2.270625834 5.54321952134728e-13
2.2722339259999997 5.180893423198418e-13
2.273842018 1.0947130661590842e-12
2.2754501100000004 1.8378629602808322e-13
2.277058202 6.440071183664036e-14
2.278666294 4.01545895748497e-14
2.280274386 1.7855521666289702e-14
2.281882478 1.3788285293118908e-14
2.28349057 4.518570094690557e-14
2.285098662 3.018326987216556e-13
2.286706753 6.770009763188412e-13
2.288314845 6.966082783058073e-13
2.2899229369999996 1.5768784957665373e-12
2.291531029 1.874313328955371e-12
2.2931391210000003 2.8480756801613857e-12
2.294747213 1.9644559215107474e-12
2.296355305 1.128345847425452e-12
2.297963397 1.1829686802807838e-12
2.299571489 1.4644490454742874e-12
2.301179581 1.922152965382659e-12
2.3027876729999996 7.497817573787969e-13
2.304395765 2.6256662862667115e-14
2.3060038570000003 1.6726476067126023e-15
2.307611949 4.081954835332683e-15
2.309220041 2.0048688277201257e-14
2.310828133 4.6645382344272676e-14
2.312436225 1.3416920367234042e-14
2.314044317 4.58795993531119e-15
2.3156524089999997 8.328900584189033e-15
2.3172605010000003 3.366949255449125e-14
2.318868592 1.4897612395775457e-13
2.3204766840000004 6.631006317228816e-13
2.322084776 4.931783683007392e-12
2.323692868 1.189012261743012e-11
2.32530096 1.0355873106575833e-11
2.326909052 9.180290125238703e-12
2.328517144 1.0006217232861277e-11
2.3301252359999998 1.381267989609792e-11
2.331733328 2.6684491079687145e-11
2.33334142 2.848566775666355e-11
2.334949512 3.515446214815618e-11
2.3365576040000002 1.186118563558783e-11
2.338165696 2.7097851393969634e-12
2.339773788 1.0445333443988964e-12
2.3413818799999997 2.8977413218320102e-12
2.342989972 1.0068495943369465e-11
2.344598064 1.0866203968796175e-11
2.346206156 3.334795764423829e-12
2.347814248 1.2993773741479904e-12
2.3494223400000003 5.696992149819954e-12
2.3510304310000003 4.787052641504291e-11
2.352638523 1.8157306493209628e-10
2.354246615 2.1518930252516072e-11
2.3558547069999998 2.7007385952192447e-12
2.357462799 1.7476859990414935e-12
2.359070891 5.395053308122479e-12
2.3606789829999997 2.285866356880241e-11
2.3622870750000002 9.088149155058035e-12
2.363895167 3.0932792023752215e-12
2.365503259 1.9244161697582633e-12
2.367111351 2.7643206985222657e-12
2.368719443 3.979527082278151e-12
2.370327535 1.471522382004786e-11
2.371935627 1.6096597232211754e-10
2.3735437189999997 1.930202508133815e-09
2.3751518110000003 5.688327168727867e-10
2.376759903 6.870332374565719e-11
2.378367995 1.3292250338745043e-11
2.379976087 1.4241630339701524e-10
2.381584179 2.0109045094855377e-09
2.383192271 4.619569910010315e-09
2.384800362 4.5677988966311454e-10
2.3864084539999997 5.274366793612996e-11
2.388016546 6.161968807267527e-11
2.389624638 4.0794629872440155e-10
2.39123273 3.6540907407242514e-09
2.392840822 6.961304635103777e-09
2.3944489140000003 1.2030704663785436e-08
2.396057006 1.8254517419437066e-08
2.397665098 2.3863386017868133e-09
2.3992731899999997 3.476077847411422e-10
2.400881282 3.9085263481455407e-10
2.4024893740000004 5.983114086913812e-09
2.404097466 9.351892024169317e-08
2.405705558 5.769566731996914e-08
2.40731365 5.1159817138446295e-09
2.408921742 4.668231444058506e-10
2.410529834 1.8701596172696216e-09
2.4121379259999998 2.16124534738664e-08
2.413746018 2.076265841884679e-07
2.41535411 2.1718285881528196e-08
2.416962201 2.499467854495513e-09
2.418570293 8.49611010579444e-10
2.4201783850000003 4.412735227260851e-09
2.421786477 3.901594259455806e-08
2.423394569 5.639891114185717e-08
2.425002661 8.048719767236688e-09
2.426610753 1.807530246162928e-09
2.428218845 1.4399032425116354e-09
2.4298269369999996 1.6257089746737298e-09
2.431435029 1.8354604263476202e-09
2.4330431210000003 9.917036657904248e-09
2.434651213 1.1666414247550064e-07
2.436259305 1.4608401875662435e-06
2.4378673969999998 1.8216153519914946e-07
2.439475489 1.8569300376043032e-08
2.441083581 4.0709179279060315e-09
2.4426916729999997 5.0957117498129924e-08
2.4442997650000002 6.498711106276386e-07
2.4459078570000004 2.6325931029420406e-06
2.447515949 2.2190185470910006e-07
2.44912404 1.9161594956450886e-08
2.450732132 7.050220753419697e-09
2.452340224 5.075149716274293e-08
2.453948316 4.3812667760256773e-07
2.455556408 5.029207634619762e-07
2.4571644999999998 5.894229569838779e-08
2.458772592 8.165632002254867e-09
2.460380684 8.402336891760882e-09
2.461988776 4.4346353253976604e-08
2.463596868 3.0471408400324766e-07
2.46520496 7.887642984917653e-07
2.466813052 1.2984337879679465e-06
2.468421144 2.511549446248496e-06
2.470029236 5.142805404174019e-07
2.471637328 4.817762145115207e-08
2.47324542 5.667934790155552e-09
2.474853512 2.9891264064063965e-08
2.4764616040000003 3.35896768023316e-07
2.478069696 3.7855144166784355e-06
2.479677788 6.16311381818157e-07
2.481285879 5.539658188887286e-08
2.4828939709999998 5.0260978779704205e-09
2.484502063 3.825371148404495e-08
2.486110155 4.2469486023005163e-07
2.4877182469999997 4.761703720253682e-06
2.489326339 1.9188509833904167e-06
2.4909344310000003 1.1098093765458529e-06
2.492542523 7.255023590348397e-07
2.494150615 9.864227474882768e-07
2.495758707 1.5531209735076332e-06
2.497366799 4.346776027151609e-06
2.498974891 4.107327631544769e-06
2.499778162 4.149290369832764e-09
2.5011293930000003 8.519275981094298e-09
2.502480624 2.063234336942237e-08
2.5038318559999997 5.806239413321802e-07
2.505183087 6.859526062636892e-07
2.506534319 9.227610364358799e-07
2.50788555 1.756341746099648e-06
2.509236782 1.0993385515400085e-06
2.510588013 5.944055309237636e-09
2.511939244 1.6913222723565193e-06
2.5132904760000003 1.3895889747093709e-06
2.514641707 2.7104997227845174e-06
2.515992939 2.735922582431209e-06
2.51734417 1.1305587183270093e-06
2.5186954019999996 3.058725715945817e-07
2.5200466329999998 1.8802783504001244e-06
2.521397865 5.551229709299551e-07
2.522749096 1.029027843769465e-06
2.524100327 1.2186737624376452e-06
2.525451559 4.10821412534652e-09
2.52680279 4.107529972194586e-09
2.5281540220000003 1.238555858940551e-06
2.529505253 7.006915319228937e-09
2.5308564849999997 4.112990812534897e-09
2.532207716 8.89893389540984e-07
2.533558948 2.3080589938319496e-06
2.534910179 2.0420011067127067e-06
2.5362614100000003 9.338041452997713e-07
2.537612642 1.0819662917701647e-06
2.538963873 1.1877252124319102e-06
2.5403151050000004 8.1598422337624e-08
2.5416663359999996 1.6609569129373638e-06
2.5430175680000002 1.6153711920308472e-06
2.544368799 1.077797337841899e-06
2.54572003 1.940092770544923e-06
2.547071262 4.21156008133682e-09
2.548422493 8.913073566626602e-07
2.549773725 6.420265431174417e-07
2.551124956 9.725671236399193e-07
2.552476188 1.3235010575389938e-08
2.553827419 2.6782789704466396e-06
2.5551786510000003 3.059660010521362e-06
2.556529882 1.6705848475264768e-06
2.557881113 3.359891930794158e-06
2.559232345 4.7491218779087855e-06
2.560583576 8.904439981962353e-08
2.561934808 7.764345441006859e-08
2.5632860390000003 2.7625866467570358e-06
2.564637271 1.083356966092506e-06
2.565988502 4.415435853007903e-06
2.567339733 6.526943163988069e-06
