Wavelength_microns Throughput
2.0004663860000003 3.54733043849835e-12
2.002610509 3.019763232076729e-12
2.004754632 2.564562019051e-12
2.006898754 2.150997322824612e-12
2.009042877 1.7825036321366278e-12
2.011186999 1.5267244140694283e-12
2.013331122 1.2273692179655232e-12
2.015475245 1.081535339127221e-12
2.017619367 1.036195290152126e-12
2.01976349 1.0847698270264658e-12
2.021907612 1.2625418062743847e-12
2.024051735 1.2880076707983805e-12
2.026195858 1.2789714278569439e-12
2.02833998 1.3231924088802885e-12
2.030484103 1.500629328368384e-12
2.032628225 1.6233401667231368e-12
2.034772348 1.5853772715005437e-12
2.036916471 1.5205036317536638e-12
2.039060593 1.3973195419750928e-12
2.0412047159999998 1.4607769253855148e-12
2.043348838 1.4692653202879269e-12
2.045492961 1.4135107868251464e-12
2.0476370839999998 1.3968542676259879e-12
2.049781206 1.4593228110294127e-12
2.0519253290000004 1.6160722097031944e-12
2.0540694509999997 1.7827916347108282e-12
2.056213574 1.957289735828866e-12
2.058357697 2.1576053463074967e-12
2.060501819 2.444181715475689e-12
2.062645942 2.7502539178915876e-12
2.064790064 2.977206164055667e-12
2.0669341869999998 3.2778245521037486e-12
2.06907831 3.582993198190482e-12
2.071222432 3.968637659364893e-12
2.073366555 4.601836420086757e-12
2.075510677 5.364509985892561e-12
2.0776548 6.645909412938203e-12
2.079798923 8.320026292379441e-12
2.081943045 1.038918543767421e-11
2.084087168 1.2690048600396949e-11
2.08623129 1.470633541068774e-11
2.088375413 1.675182808737442e-11
2.090519536 1.8299413590038973e-11
2.0926636579999998 1.89278914033117e-11
2.094807781 1.9374323081026294e-11
2.0969519030000003 2.252617803167307e-11
2.0990960260000002 2.9004499737901354e-11
2.101240149 3.961775569729349e-11
2.103384271 5.88910221726203e-11
2.105528394 8.621460337475745e-11
2.107672516 1.1977094087472648e-10
2.109816639 1.6051031696190453e-10
2.1119607620000003 2.001197638094394e-10
2.114104884 2.2767572623153327e-10
2.116249007 2.3755819912498617e-10
2.118393129 2.284372554637444e-10
2.120537252 2.1156690785215307e-10
2.122681375 1.9393856439217623e-10
2.124825497 1.8005245052093844e-10
2.1269696199999997 1.6788926653610362e-10
2.129113742 1.5930078338277124e-10
2.1312578650000003 1.510676341075521e-10
2.133401988 1.453044046389107e-10
2.1355461100000004 1.414023732842657e-10
2.137690233 1.2974942372418631e-10
2.139834355 1.1370167797570088e-10
2.141978478 9.519870397964232e-11
2.144122601 7.703964517488292e-11
2.146266723 6.201898721873392e-11
2.1484108460000004 5.697250827453697e-11
2.150554968 6.066296029775168e-11
2.152699091 6.558151602816368e-11
2.154843214 7.396627440341905e-11
2.1569873360000003 8.659815400534464e-11
2.159131459 1.0455564535551141e-10
2.161275581 1.2868655577081371e-10
2.163419704 1.453185692868749e-10
2.165563827 1.4899457685734585e-10
2.167707949 1.3821563024791956e-10
2.1698520720000003 1.291504528858551e-10
2.1719961939999997 1.3403743929592623e-10
2.174140317 1.39348979617457e-10
2.17628444 1.4096034306220496e-10
2.178428562 1.372714913544087e-10
2.180572685 1.4117302627653327e-10
2.182716807 1.4910000654452984e-10
