Wavelength_microns Throughput
2.0004663860000003 5.206374314612741e-12
2.002074478 4.909662641231199e-12
2.00368257 4.9346275879178286e-12
2.005290662 4.799215415000028e-12
2.006898754 4.403270270754997e-12
2.008506846 3.5496150479358564e-12
2.010114938 2.9345881736489197e-12
2.01172303 2.5111220519106514e-12
2.013331122 2.1790334878214193e-12
2.014939214 1.9110766979055917e-12
2.016547306 1.7889575777413154e-12
2.018155398 1.838260215774281e-12
2.01976349 1.9945262906454244e-12
2.021371582 2.3170162171780674e-12
2.022979674 2.4205563293241507e-12
2.0245877660000002 2.3099138977861388e-12
2.026195858 2.165760450935353e-12
2.027803949 1.9942421158288783e-12
2.029412041 1.9473610010900593e-12
2.031020133 1.9687008985220132e-12
2.032628225 2.002341536626415e-12
2.034236317 2.0933560380555483e-12
2.035844409 1.9220292100034477e-12
2.037452501 1.7254166599495164e-12
2.039060593 1.702400547230454e-12
2.040668685 1.7613053589489024e-12
2.042276777 1.828536747656007e-12
2.0438848689999998 1.9148134194479075e-12
2.045492961 1.905250372805987e-12
2.047101053 1.857124160145875e-12
2.0487091449999997 1.796063210513964e-12
2.0503172370000002 1.801096734990252e-12
2.0519253290000004 1.9284019745576943e-12
2.053533421 1.9734799316498986e-12
2.055141513 1.9354351818461496e-12
2.056749605 2.2756141556398978e-12
2.058357697 2.553573888299376e-12
2.059965788 2.7812798898276264e-12
2.06157388 2.9189417646937673e-12
2.0631819719999998 3.0555827141539296e-12
2.064790064 3.1774283112665545e-12
2.066398156 3.324074982345256e-12
2.068006248 3.6754584755805565e-12
2.06961434 4.302799602571335e-12
2.071222432 5.494848543232145e-12
2.072830524 7.2728847015162195e-12
2.074438616 9.923698738573943e-12
2.076046708 1.1230663352861095e-11
2.0776548 1.302852512762984e-11
2.079262892 1.5052581203879422e-11
2.080870984 1.6917553311288832e-11
2.0824790760000003 1.7184134681589724e-11
2.084087168 2.0191051156726165e-11
2.08569526 2.3232224104188065e-11
2.0873033519999997 2.6920661388349565e-11
2.088911444 2.3811700538303602e-11
2.090519536 2.1860394635819736e-11
2.092127627 1.9034909998351773e-11
2.0937357189999997 2.048143798291577e-11
2.0953438110000002 2.5353182812070052e-11
2.0969519030000003 3.182401115107106e-11
2.098559995 3.988978301711436e-11
2.100168087 5.4129633422519546e-11
2.101776179 7.88043516734218e-11
2.103384271 1.0478958916574622e-10
2.104992363 1.2101917987778745e-10
2.1066004549999997 1.2959946682760797e-10
2.1082085470000003 1.4177788753377523e-10
2.109816639 1.555449562148705e-10
2.111424731 1.6703373320489315e-10
2.113032823 1.747820827127614e-10
2.114640915 2.1253817432561687e-10
2.116249007 2.4700846940151473e-10
2.1178570989999996 2.8497060962044965e-10
2.1194651909999997 2.9024563995578696e-10
2.1210732830000003 2.979958540032212e-10
2.122681375 2.5379840366832087e-10
2.124289466 2.1297088531985076e-10
2.125897558 1.9289336240946772e-10
2.1275056500000002 1.8317606649950053e-10
2.129113742 1.825658513532483e-10
2.130721834 1.9055952210649843e-10
2.1323299259999997 2.0151762907944686e-10
2.133938018 2.1345891003744001e-10
2.1355461100000004 2.2027720932560688e-10
2.137154202 1.9189179554036748e-10
2.138762294 1.692608128218134e-10
2.140370386 1.6784732052137843e-10
2.141978478 1.7034901615995697e-10
2.14358657 1.8463507238877953e-10
2.1451946619999998 2.060966323104105e-10
2.146802754 2.1652992104884463e-10
2.1484108460000004 2.1497613036024092e-10
2.150018938 2.1038559233768343e-10
2.15162703 2.0075347081598977e-10
2.153235122 1.942706315295167e-10
2.154843214 1.9262332362254395e-10
2.156451305 1.9196564530596705e-10
2.158059397 2.2071506152480712e-10
2.159667489 2.62389285023986e-10
2.161275581 2.8525664603688377e-10
2.1628836729999996 2.940839353110612e-10
2.164491765 2.825413879163172e-10
2.1660998570000003 2.519124361330627e-10
2.167707949 2.2901229406478193e-10
2.169316041 2.0978309151769787e-10
2.170924133 2.053171231363703e-10
2.172532225 2.087719819999224e-10
2.174140317 2.2846938432625962e-10
2.1757484089999997 2.471024150361537e-10
2.177356501 2.4926972998618194e-10
2.1789645930000003 2.593008093522216e-10
2.180572685 2.771878058104747e-10
2.182180777 2.9967398204274166e-10
2.183788869 3.404678380188689e-10
